record_id,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
14232,47,Private,?,Some-college,married,craft,related,White,Male,?,[0-99],?,United-States,0
11186,49,Private,[100000-499999],high_school_graduate,?,Machine-op-inspct,Wife,White,Female,[0-99],[0-99],40,Amerika,0
22534,jung,Private,?,Assoc-voc,?,serives,?,White,?,?,[0-99],?,United-States,0
26943,?,gov,[100000-499999],bachelor_and_higher,?,professional_management,Husband,White,Male,0,?,?,Amerika,1
47375,?,?,357173,Some-college,?,Transport-moving,Husband,?,Male,0,0,mittel,Amerika,0
4501,mittel,?,?,?,not_married,Handlers-cleaners,Not-in-family,Black,Male,[0-99],[0-99],mittel,Amerika,0
19030,21,?,313702,Some-college,Never-married,Sales,?,White,Male,[0-99],0,40,?,0
18639,?,?,?,?,Married-civ-spouse,Craft-repair,?,?,Male,?,[0-99],mittel,United-States,0
44469,?,State-gov,[50000-99999],bachelor_and_higher,Never-married,?,not_related,White,Female,[0-99],?,?,Amerika,0
5871,34,?,?,?,?,professional_management,Husband,White,?,0,0,?,United-States,1
30699,[40-49],private_sector,?,bachelor_and_higher,Divorced,serives,?,White,Female,[0-99],0,mittel,Amerika,0
5408,mittel,self_emp,[100000-499999],high_school_graduate,Married-civ-spouse,Sales,related,?,?,?,?,?,?,1
44628,?,private_sector,235786,high_school_graduate,Separated,Craft-repair,not_related,White,?,?,?,40,Amerika,0
36591,[50-59],?,153155,HS-grad,married,Craft-repair,?,White,Male,15024,[0-99],mittel,United-States,1
3715,[20-29],private_sector,[100000-499999],Some-college,?,admin_and_sales,related,?,?,[0-99],[0-99],20,?,0
42759,[40-49],private_sector,303619,high_school,separeted_divorced,craft,?,White,?,?,?,40,United-States,0
36686,34,Private,[500000-1490400],Some-college,not_married,?,not_related,?,Male,?,0,[30-39],Amerika,0
1952,30,?,226013,Bachelors,not_married,professional_management,not_related,?,Male,?,0,?,Amerika,0
24576,52,self_emp,[100000-499999],?,Married-civ-spouse,Exec-managerial,related,?,?,[0-99],[0-99],[90-99],?,1
39413,mittel,Local-gov,[100000-499999],?,Divorced,Prof-specialty,?,White,?,?,[0-99],[50-59],?,0
7878,37,?,51158,high_school_graduate,Married-civ-spouse,tech,Wife,?,Female,[5000-9999],?,36,?,1
34563,?,private_sector,[100000-499999],?,Widowed,?,Not-in-family,Black,?,[0-99],[1000-1999],[30-39],?,0
45305,mittel,Private,[100000-499999],bachelor_and_higher,married,serives,?,Other,Male,?,0,?,Iran,1
47265,?,?,?,high_school_graduate,?,craft,?,?,Male,0,0,?,Amerika,0
