record_id,fnlwgt
14232,751946
11186,300000
22534,751946
26943,300000
47375,357173
4501,751946
19030,313702
18639,751946
44469,75000
5871,751946
30699,751946
5408,300000
44628,235786
36591,153155
3715,300000
42759,303619
36686,995200
1952,226013
24576,300000
39413,300000
7878,51158
34563,300000
45305,300000
47265,751946
22468,300000
30265,751946
16495,751946
23408,751946
8649,751946
24059,75000
21991,434114
38068,300000
37962,751946
23963,300000
2844,751946
38514,325033
1033,300000
551,27053
9742,300000
26253,300000
46680,220109
42875,178322
16589,271933
47353,48585
42587,300000
17936,300000
47080,389856
36501,300000
17371,312055
4248,300000
27544,751946
28487,751946
37983,178319
32403,325372
22479,300000
6873,751946
31817,402462
8366,121319
27006,751946
17995,300000
3614,373550
47443,145643
24774,31746
24839,227065
15362,751946
32646,170482
1147,185041
9835,103649
47386,751946
27417,31746
7822,213321
25062,188041
47098,751946
3336,751946
30997,300000
25117,300000
22611,751946
35661,751946
17137,751946
34693,751946
21655,117767
30347,300000
11843,751946
14787,177285
25557,224886
41865,300000
41546,300000
13251,751946
11679,751946
1463,75000
33334,127875
15330,61761
34139,328581
8887,300000
7192,239876
18822,52963
45197,300000
46027,26947
2993,300000
32891,751946
46125,751946
674,300000
31996,170866
36980,110028
10160,183170
42753,207172
8248,75000
44551,28572
36345,751946
4948,31746
9994,751946
42795,75000
33220,31746
16546,751946
34719,751946
46484,300000
40025,206775
47198,300000
10534,751946
39875,300000
12658,300000
45324,751946
43970,149648
19800,751946
45101,751946
38965,300000
14382,751946
32288,751946
31808,470368
2481,751946
1587,300000
38038,337001
45740,159474
29464,236497
35345,300000
33448,151764
13955,188081
44555,239405
14464,31746
24245,186784
23349,751946
25316,751946
9328,300000
31760,751946
20467,104333
7405,300000
32610,300000
34470,233362
34011,300000
24914,300000
35450,168887
16132,300000
24141,222434
12633,110311
25030,239161
11756,75000
22939,751946
43109,751946
18893,300000
20512,751946
25143,751946
1856,75000
9441,217509
35133,75000
17307,239171
23497,751946
4820,341294
9372,281792
20672,75000
21547,38876
11789,751946
13520,500509
17495,300000
1658,300000
24471,174102
21076,751946
20543,136398
10426,300000
17848,751946
47066,751946
13814,300000
47999,751946
11308,751946
25016,751946
12691,263641
12520,243923
29295,153908
2472,432565
21143,300000
1281,751946
37504,41021
21138,751946
25312,751946
30871,160261
9567,300000
41711,177695
20487,751946
705,751946
23424,67662
30245,751946
24148,300000
31733,287306
22038,198258
33580,751946
11312,77905
36366,82050
34040,197816
35146,48358
38742,324421
13674,60267
27604,204928
20821,196797
30767,751946
10516,24728
16086,81794
5268,186569
18349,300000
9090,751946
16392,300000
11900,751946
18892,751946
4349,114758
40162,751946
4281,751946
8258,1226583
37474,751946
36797,300000
27054,297742
24552,300000
28128,300000
47396,300000
26128,251305
41575,751946
47090,41506
26062,751946
42281,44671
2824,751946
33825,300000
26727,751946
13036,257364
31004,300000
25812,169482
24637,481175
43544,300000
15857,300000
14745,336061
9862,751946
40760,751946
7747,210165
16744,75000
3742,300000
25189,300000
4126,751946
37067,172232
35262,751946
9877,751946
41154,751946
24831,321666
12552,300000
39989,215618
44964,300000
28700,751946
36491,300000
38523,203076
18809,300000
8020,751946
30435,300000
41340,31746
12006,300000
39788,751946
39338,210013
41925,751946
33379,243368
42842,751946
20883,157332
21866,263081
621,751946
34612,751946
1323,121912
9084,139616
14257,300000
11472,300000
25616,751946
22077,418961
20569,300000
7754,300000
39417,124161
13046,330695
16772,751946
46244,129263
46316,146189
41039,300000
2271,751946
10735,300000
29084,300000
23640,751946
3922,75000
16857,330715
35562,751946
41244,751946
27391,300000
24599,206307
16463,75000
23048,751946
15641,73411
37152,300000
11279,300000
1880,300000
45856,751946
45385,300000
5564,300000
16339,751946
17088,300000
33331,300000
28926,751946
24330,751946
43501,300000
32167,751946
44906,272715
33896,751946
909,751946
15866,199915
27773,57723
2453,751946
10703,751946
45573,244910
957,298785
24620,180419
15405,300000
14482,300000
47273,751946
45151,33795
18395,75000
42735,751946
23796,361742
28837,300000
31010,751946
38849,207955
26507,95078
7189,300000
7280,300000
34487,97295
28687,105592
24674,300000
33463,386299
12066,751946
17034,129980
6287,557082
35013,327079
43832,345779
29626,116394
34849,751946
37959,216757
6411,233059
1730,751946
15509,568490
19459,300000
17400,751946
32632,751946
41686,751946
6280,300000
48095,751946
42574,158734
1474,751946
43656,300000
27879,261725
20726,357933
12305,149787
32324,138162
12495,751946
26701,234504
17791,751946
30505,751946
39411,97950
14247,300000
24958,751946
23598,201466
4198,751946
15888,751946
16830,300000
48209,751946
32819,260782
6906,751946
33138,751946
48474,300000
34532,751946
6594,751946
48648,277946
5617,300000
48033,751946
3995,751946
47687,187815
45703,177487
9390,135470
6514,300000
25462,199688
37675,751946
3278,31746
36948,248600
1351,300000
44408,751946
26842,46028
42592,31746
7330,751946
48246,140516
18711,31746
16584,751946
39587,751946
31045,342642
14977,300000
25687,300000
24881,300000
47871,300000
31121,300000
7478,300000
11457,159165
23909,300000
16902,300000
