record_id,sex
14232,Male
11186,Female
26943,Male
47375,Male
4501,Male
19030,Male
18639,Male
44469,Female
30699,Female
36591,Male
36686,Male
1952,Male
7878,Female
45305,Male
47265,Male
22468,Male
30265,Male
16495,Male
23408,Female
21991,Male
38068,Female
37962,Male
23963,Male
9742,Male
26253,Male
46680,Male
42875,Male
16589,Female
47353,Female
17936,Male
47080,Male
36501,Male
17371,Male
4248,Female
27544,Female
32403,Male
22479,Female
31817,Male
27006,Female
24774,Female
15362,Female
32646,Female
25062,Male
3336,Female
30997,Male
25117,Male
35661,Male
21655,Male
11843,Male
25557,Male
41546,Male
13251,Male
34139,Male
7192,Male
18822,Female
46027,Female
32891,Male
46125,Female
674,Male
10160,Male
42753,Female
44551,Male
36345,Male
4948,Female
33220,Male
34719,Male
43970,Female
19800,Male
45101,Male
32288,Male
38038,Male
45740,Male
35345,Male
33448,Male
24245,Female
25316,Male
20467,Male
34470,Male
35450,Male
16132,Male
24141,Male
12633,Female
25030,Male
11756,Male
43109,Male
18893,Male
9441,Female
9372,Male
21547,Male
13520,Male
17495,Female
1658,Male
20543,Male
17848,Female
47066,Female
47999,Male
25016,Female
12520,Male
2472,Female
21143,Female
9567,Male
705,Female
23424,Female
30245,Female
24148,Male
22038,Male
33580,Male
34040,Male
13674,Male
20821,Female
30767,Male
10516,Female
16086,Female
18349,Male
9090,Female
16392,Male
11900,Male
4349,Male
40162,Male
4281,Female
37474,Female
27054,Female
24552,Female
47396,Male
47090,Female
42281,Male
33825,Female
26727,Male
13036,Male
25812,Female
43544,Female
14745,Male
7747,Male
37067,Male
35262,Male
9877,Female
24831,Male
12552,Male
44964,Female
28700,Male
38523,Male
8020,Female
12006,Male
39338,Male
42842,Female
20883,Female
621,Female
9084,Male
22077,Female
20569,Male
7754,Female
13046,Male
46316,Male
10735,Female
3922,Female
24599,Male
16463,Male
11279,Female
45856,Male
17088,Male
33331,Female
28926,Male
24330,Male
43501,Male
909,Male
27773,Male
2453,Female
10703,Male
45573,Male
14482,Female
42735,Male
23796,Male
26507,Female
34487,Female
28687,Male
24674,Male
33463,Female
12066,Male
17034,Male
6287,Female
35013,Female
43832,Male
34849,Female
1730,Male
15509,Male
17400,Male
32632,Male
41686,Male
6280,Male
48095,Male
42574,Female
43656,Male
27879,Female
20726,Female
32324,Male
12495,Female
26701,Male
14247,Male
24958,Male
4198,Female
32819,Male
33138,Male
48474,Male
48648,Male
5617,Female
3995,Female
47687,Male
6514,Male
1351,Male
26842,Female
42592,Male
48246,Female
31045,Male
24881,Male
47871,Female
23909,Female
16902,Male
13412,Male
2395,Male
46537,Male
4091,Male
37231,Male
11348,Male
29020,Male
26875,Male
1602,Female
14539,Male
15957,Female
33619,Male
799,Male
44499,Female
39518,Female
39815,Male
4620,Male
15081,Female
24869,Male
12203,Female
2559,Female
34527,Female
42755,Male
26013,Male
6269,Female
5570,Male
38393,Female
1924,Female
24705,Male
15819,Male
38146,Male
540,Male
48076,Female
33432,Male
35091,Male
23278,Male
15679,Male
12192,Male
15008,Male
12527,Female
39370,Male
44164,Male
15486,Female
36478,Male
37394,Male
1375,Female
9986,Male
31205,Male
273,Male
38506,Male
6711,Male
40699,Female
3734,Female
30197,Male
24909,Female
40163,Female
1768,Male
12319,Male
4975,Male
24974,Female
41347,Male
44916,Male
42556,Male
4941,Male
17874,Male
15240,Male
20204,Female
22126,Male
25217,Female
29047,Male
10197,Male
8218,Female
29533,Male
24791,Male
32357,Female
17175,Male
29993,Male
16436,Male
8037,Female
22825,Female
14732,Male
1413,Male
14556,Male
20442,Male
46063,Male
19091,Female
6814,Female
39134,Male
303,Male
5489,Female
7566,Male
2048,Male
7026,Female
20252,Male
34449,Female
41643,Female
424,Female
5398,Male
39870,Male
48067,Female
36556,Male
33705,Male
39283,Female
42550,Male
33721,Female
40249,Male
2058,Male
33811,Female
48834,Female
25129,Male
30272,Female
15462,Male
41737,Male
31750,Male
3426,Male
27594,Male
45711,Male
11633,Female
19524,Male
25797,Male
33596,Male
40939,Female
12696,Male
46074,Male
7794,Male
36064,Male
31442,Female
10188,Male
17606,Male
35939,Male
40834,Female
6194,Female
4757,Male
39907,Male
30909,Female
39963,Male
28011,Male
7818,Male
39500,Male
41152,Female
25413,Male
5674,Female
15060,Female
21086,Male
19981,Male
15736,Male
42213,Male
31759,Male
15511,Female
46905,Male
30270,Male
47100,Male
2785,Female
18710,Male
29003,Male
47746,Male
11341,Male
43108,Male
34542,Female
21702,Female
16085,Female
13954,Female
12464,Male
18169,Female
1424,Male
45418,Female
4260,Male
4901,Male
17891,Female
20024,Male
32330,Male
23989,Male
12005,Male
18587,Female
48108,Female
880,Female
1638,Male
41067,Female
23455,Male
37875,Male
5092,Male
22912,Male
13485,Male
24531,Female
10214,Male
20073,Male
34929,Male
36137,Female
45450,Female
22663,Male
16757,Male
33492,Male
1322,Male
1272,Female
15208,Male
7233,Female
46741,Male
73,Male
38232,Male
28760,Male
7032,Male
39524,Male
41662,Female
41786,Female
44418,Male
19699,Male
8768,Male
26401,Male
32434,Female
7268,Male
27479,Male
33429,Male
45588,Male
43239,Male
24751,Male
20713,Male
34345,Male
21909,Male
11745,Male
32402,Male
3795,Male
7609,Male
18295,Male
19663,Male
20477,Male
4935,Male
40227,Male
4723,Male
19920,Male
27155,Male
39939,Male
25014,Female
33197,Male
30380,Male
43742,Male
18029,Female
36503,Male
25191,Male
39056,Male
43820,Male
26473,Male
29796,Male
29164,Male
3234,Female
35903,Female
43282,Male
29926,Male
17327,Male
20282,Male
29178,Male
17751,Male
32504,Female
33447,Male
37196,Female
11380,Female
36533,Male
4077,Male
34904,Male
38045,Female
28429,Male
5559,Female
26721,Male
27440,Male
13159,Male
37569,Female
24266,Male
3861,Male
2783,Male
2400,Female
21974,Male
31702,Male
8701,Female
33246,Male
31246,Male
36279,Male
9719,Male
6114,Male
30236,Female
26140,Male
26798,Male
22070,Female
22057,Male
46501,Female
6758,Male
24435,Male
38797,Male
24231,Male
2231,Female
31865,Male
47807,Male
37614,Female
15818,Male
4139,Male
18490,Male
4448,Male
14968,Male
8629,Female
263,Male
21617,Female
18081,Male
39381,Male
15435,Male
37658,Male
40862,Male
10405,Male
28634,Male
41769,Male
6729,Male
20780,Male
315,Male
37400,Male
4123,Female
3826,Male
38067,Male
31855,Male
37746,Male
6644,Male
42125,Male
19825,Female
48804,Male
3694,Male
22327,Female
40491,Male
28174,Male
34524,Male
25892,Male
14512,Male
41486,Male
25798,Female
18308,Male
37628,Female
10369,Male
12281,Female
11487,Female
9529,Male
30336,Male
36495,Male
27575,Female
6021,Female
8539,Female
42973,Female
46048,Male
5000,Male
23717,Male
13803,Male
20331,Male
38599,Female
23360,Female
19647,Male
52,Female
24382,Male
36962,Male
4252,Male
1444,Male
41984,Male
11957,Female
45387,Female
5476,Female
44834,Male
2039,Male
6436,Female
5909,Male
30668,Female
9743,Male
42361,Female
9887,Male
44224,Male
19129,Female
17289,Female
12571,Female
26200,Male
35210,Female
18897,Male
30150,Female
19339,Male
5970,Male
37853,Female
27820,Female
17941,Female
43861,Male
47140,Male
29112,Male
25244,Male
21925,Male
36809,Male
22061,Female
10661,Male
21567,Female
23233,Male
45005,Male
35194,Female
25008,Male
4075,Male
41813,Male
32095,Female
19774,Female
47688,Male
18513,Female
8381,Male
46392,Male
14354,Female
21850,Male
9250,Male
10291,Male
34580,Male
12117,Female
6403,Female
14179,Female
47603,Female
38648,Female
32054,Male
31017,Male
414,Male
31286,Male
27470,Female
43263,Female
44562,Female
3369,Male
23326,Female
14261,Female
13915,Male
30051,Female
26709,Female
29430,Male
46969,Female
37951,Female
20165,Male
9075,Male
26751,Male
31255,Male
20920,Female
20890,Male
5444,Male
12847,Male
21054,Male
22887,Female
16689,Male
12947,Male
42991,Male
26366,Male
39018,Male
10701,Male
5904,Male
11175,Female
18915,Female
7231,Male
20637,Male
44942,Male
22695,Female
20841,Male
32566,Male
47685,Female
36084,Male
32765,Male
32791,Male
4202,Female
14417,Male
18660,Male
13550,Female
22046,Male
20931,Male
15732,Female
16020,Female
11741,Male
2914,Female
10849,Male
4042,Female
37935,Male
41076,Male
33950,Male
26505,Female
32287,Male
7592,Male
47519,Male
4472,Female
10550,Male
8394,Male
2874,Female
46012,Male
23394,Female
36060,Male
1087,Male
238,Male
46570,Female
41685,Female
45710,Male
34303,Male
22968,Male
7342,Male
24615,Female
22458,Female
48551,Male
17629,Female
7279,Female
4225,Male
36526,Male
11583,Female
24219,Male
45366,Male
19684,Female
28836,Male
38570,Male
12494,Male
39415,Male
22019,Male
6760,Male
46948,Male
27001,Female
12987,Male
20417,Male
42902,Male
45279,Female
5239,Female
47801,Male
4624,Female
40143,Male
36518,Male
38719,Female
38248,Female
47231,Female
26708,Female
43992,Male
36912,Male
11888,Male
38958,Male
13218,Male
43314,Male
45857,Female
37093,Male
2369,Male
25335,Male
10913,Female
11498,Male
36422,Male
40800,Male
12052,Male
11521,Male
48427,Female
41564,Male
42729,Male
21416,Male
33731,Male
13508,Female
23998,Male
16161,Male
41609,Female
27424,Female
18782,Male
15122,Male
16600,Male
44538,Male
36878,Male
24186,Male
38830,Female
39250,Female
21525,Male
21842,Male
29950,Male
6680,Male
37409,Male
34827,Male
219,Male
27890,Male
41119,Male
37581,Female
24098,Male
29368,Male
47944,Female
440,Male
48517,Male
16916,Female
45310,Female
48629,Male
18243,Female
1028,Female
34859,Male
35550,Female
35907,Male
38443,Female
14310,Male
28447,Male
36646,Male
7567,Male
27260,Female
31187,Male
36325,Male
3718,Female
31705,Male
45090,Female
6653,Male
34314,Female
32970,Female
36623,Male
26065,Male
22597,Female
37565,Female
48152,Male
30488,Female
11705,Female
22813,Male
30308,Male
16383,Female
4582,Female
27709,Male
33994,Male
19165,Male
27980,Male
23074,Male
43522,Male
39278,Female
47734,Male
29077,Male
47586,Male
17324,Male
40815,Male
14334,Female
30009,Male
17475,Female
35221,Male
9620,Male
37078,Male
37243,Male
22768,Male
40878,Male
3233,Female
21717,Female
34369,Male
5350,Male
27131,Male
16002,Female
41640,Female
152,Female
25052,Male
8018,Female
24097,Male
6262,Male
23010,Male
21672,Male
22877,Male
8952,Male
47570,Male
1771,Male
4046,Male
36115,Male
45494,Male
39456,Female
15764,Male
30296,Male
13619,Male
43034,Male
36447,Female
42022,Male
42830,Male
12685,Male
37090,Male
26177,Female
41305,Female
30085,Female
1287,Male
23180,Male
39111,Male
6378,Male
11226,Male
17729,Female
26974,Male
30834,Male
23579,Male
26994,Male
13929,Male
34661,Male
627,Male
40462,Male
39216,Male
7660,Male
29448,Male
37977,Female
7627,Female
43614,Female
12183,Female
32863,Female
2838,Female
5222,Male
35009,Male
36061,Male
1721,Male
44896,Female
4154,Male
43827,Female
14290,Female
15098,Male
34780,Female
4187,Female
8679,Male
23169,Female
35841,Male
6530,Male
48580,Male
37530,Male
42401,Female
3069,Female
48568,Male
5552,Male
7131,Female
32589,Male
3632,Female
21718,Male
1901,Female
19606,Female
4910,Male
18806,Male
25556,Female
11539,Male
37343,Male
29729,Male
5290,Male
13354,Female
28758,Female
19173,Male
11127,Female
41586,Male
40513,Male
26915,Male
18346,Female
2801,Female
18261,Male
32033,Male
31257,Male
8922,Female
47582,Male
20977,Female
25224,Female
12834,Female
12925,Male
44460,Male
39816,Male
13880,Male
47149,Male
12941,Female
30256,Male
39021,Female
5740,Male
32027,Female
33919,Female
19483,Male
30639,Male
29198,Male
36389,Female
27074,Male
46180,Male
32052,Male
28102,Male
31338,Male
21059,Male
13261,Male
1921,Male
38331,Male
17203,Female
41071,Male
5333,Male
6504,Male
16172,Female
5757,Male
38812,Female
8202,Male
36157,Male
37315,Male
20351,Male
22011,Male
28120,Male
23007,Male
3345,Female
8066,Male
22575,Male
20491,Male
43105,Female
