record_id,hours-per-week
14232,55
11186,50
22534,35
26943,45
47375,55
4501,50
19030,45
18639,50
44469,45
5871,50
30699,35
5408,65
44628,45
36591,45
3715,50
42759,50
36686,35
1952,50
24576,95
39413,50
7878,50
34563,35
45305,45
47265,55
22468,65
30265,45
16495,50
23408,15
8649,65
24059,45
21991,45
38068,35
37962,45
23963,45
2844,50
38514,45
1033,50
551,45
9742,45
26253,45
46680,50
42875,45
16589,45
47353,5
42587,45
17936,45
47080,50
36501,50
17371,50
4248,50
27544,50
28487,80
37983,45
32403,50
22479,15
6873,50
31817,35
8366,45
27006,50
17995,45
3614,45
47443,5
24774,45
24839,50
15362,45
32646,45
1147,50
9835,50
47386,50
27417,45
7822,45
25062,50
47098,45
3336,50
30997,45
25117,50
22611,50
35661,50
17137,55
34693,45
21655,50
30347,50
11843,50
14787,45
25557,50
41865,50
41546,50
13251,45
11679,45
1463,45
33334,50
15330,50
34139,45
8887,50
7192,45
18822,55
45197,45
46027,45
2993,45
32891,25
46125,25
674,45
31996,55
36980,50
10160,25
42753,45
8248,50
44551,45
36345,45
4948,45
9994,80
42795,45
33220,45
16546,45
34719,45
46484,45
40025,45
47198,45
10534,45
39875,50
12658,35
45324,45
43970,50
19800,50
45101,45
38965,15
14382,35
32288,50
31808,50
2481,45
1587,50
38038,50
45740,45
29464,45
35345,80
33448,50
13955,50
44555,45
14464,50
24245,50
23349,45
25316,80
9328,15
31760,45
20467,45
7405,45
32610,45
34470,45
34011,45
24914,45
35450,50
16132,50
24141,45
12633,50
25030,45
11756,45
22939,45
43109,50
18893,45
20512,55
25143,50
1856,65
9441,45
35133,45
17307,45
23497,50
4820,45
9372,45
20672,25
21547,80
11789,45
13520,50
17495,50
1658,15
24471,45
21076,45
20543,55
10426,45
17848,45
47066,45
13814,50
47999,50
11308,35
25016,45
12691,50
12520,85
29295,50
2472,50
21143,50
1281,45
37504,45
21138,50
25312,50
30871,50
9567,45
41711,45
20487,25
705,50
23424,35
30245,50
24148,45
31733,80
22038,50
33580,50
