record_id,sex
14232,Male
14232,Female
11186,Male
11186,Female
22534,Male
22534,Female
26943,Male
26943,Female
47375,Male
47375,Female
4501,Male
4501,Female
19030,Male
19030,Female
18639,Male
18639,Female
44469,Male
44469,Female
5871,Male
5871,Female
30699,Male
30699,Female
5408,Male
5408,Female
44628,Male
44628,Female
36591,Male
36591,Female
3715,Male
3715,Female
42759,Male
42759,Female
36686,Male
36686,Female
1952,Male
1952,Female
24576,Male
24576,Female
39413,Male
39413,Female
7878,Male
7878,Female
34563,Male
34563,Female
45305,Male
45305,Female
47265,Male
47265,Female
22468,Male
22468,Female
30265,Male
30265,Female
16495,Male
16495,Female
23408,Male
23408,Female
8649,Male
8649,Female
24059,Male
24059,Female
21991,Male
21991,Female
38068,Male
38068,Female
37962,Male
37962,Female
23963,Male
23963,Female
2844,Male
2844,Female
38514,Male
38514,Female
1033,Male
1033,Female
551,Male
551,Female
9742,Male
9742,Female
26253,Male
26253,Female
46680,Male
46680,Female
42875,Male
42875,Female
16589,Male
16589,Female
47353,Male
47353,Female
42587,Male
42587,Female
17936,Male
17936,Female
47080,Male
47080,Female
36501,Male
36501,Female
17371,Male
17371,Female
4248,Male
4248,Female
27544,Male
27544,Female
28487,Male
28487,Female
37983,Male
37983,Female
32403,Male
32403,Female
22479,Male
22479,Female
6873,Male
6873,Female
31817,Male
31817,Female
8366,Male
8366,Female
27006,Male
27006,Female
17995,Male
17995,Female
3614,Male
3614,Female
47443,Male
47443,Female
24774,Male
24774,Female
24839,Male
24839,Female
15362,Male
15362,Female
32646,Male
32646,Female
1147,Male
1147,Female
9835,Male
9835,Female
47386,Male
47386,Female
27417,Male
27417,Female
7822,Male
7822,Female
25062,Male
25062,Female
47098,Male
47098,Female
3336,Male
3336,Female
30997,Male
30997,Female
25117,Male
25117,Female
22611,Male
22611,Female
35661,Male
35661,Female
17137,Male
17137,Female
34693,Male
34693,Female
21655,Male
21655,Female
30347,Male
30347,Female
11843,Male
11843,Female
14787,Male
14787,Female
25557,Male
25557,Female
41865,Male
41865,Female
41546,Male
41546,Female
13251,Male
13251,Female
11679,Male
11679,Female
1463,Male
1463,Female
33334,Male
33334,Female
15330,Male
15330,Female
34139,Male
34139,Female
8887,Male
8887,Female
7192,Male
7192,Female
18822,Male
18822,Female
45197,Male
45197,Female
46027,Male
46027,Female
2993,Male
2993,Female
32891,Male
32891,Female
46125,Male
46125,Female
674,Male
674,Female
31996,Male
31996,Female
36980,Male
36980,Female
10160,Male
10160,Female
42753,Male
42753,Female
8248,Male
8248,Female
44551,Male
44551,Female
36345,Male
36345,Female
4948,Male
4948,Female
9994,Male
9994,Female
42795,Male
42795,Female
33220,Male
33220,Female
16546,Male
16546,Female
34719,Male
34719,Female
46484,Male
46484,Female
40025,Male
40025,Female
47198,Male
47198,Female
10534,Male
10534,Female
39875,Male
39875,Female
12658,Male
12658,Female
45324,Male
45324,Female
43970,Male
43970,Female
19800,Male
19800,Female
45101,Male
45101,Female
38965,Male
38965,Female
14382,Male
14382,Female
32288,Male
32288,Female
31808,Male
31808,Female
2481,Male
2481,Female
1587,Male
1587,Female
38038,Male
38038,Female
45740,Male
45740,Female
29464,Male
29464,Female
35345,Male
35345,Female
33448,Male
33448,Female
13955,Male
13955,Female
44555,Male
44555,Female
14464,Male
14464,Female
24245,Male
24245,Female
23349,Male
23349,Female
25316,Male
25316,Female
9328,Male
9328,Female
31760,Male
31760,Female
20467,Male
20467,Female
7405,Male
7405,Female
32610,Male
32610,Female
34470,Male
34470,Female
34011,Male
34011,Female
24914,Male
24914,Female
35450,Male
35450,Female
16132,Male
16132,Female
24141,Male
24141,Female
12633,Male
12633,Female
25030,Male
25030,Female
11756,Male
11756,Female
22939,Male
22939,Female
43109,Male
43109,Female
18893,Male
18893,Female
20512,Male
20512,Female
25143,Male
25143,Female
1856,Male
1856,Female
9441,Male
9441,Female
35133,Male
35133,Female
17307,Male
17307,Female
23497,Male
23497,Female
4820,Male
4820,Female
9372,Male
9372,Female
20672,Male
20672,Female
21547,Male
21547,Female
11789,Male
11789,Female
13520,Male
13520,Female
17495,Male
17495,Female
1658,Male
1658,Female
24471,Male
24471,Female
21076,Male
21076,Female
20543,Male
20543,Female
10426,Male
10426,Female
17848,Male
17848,Female
47066,Male
47066,Female
13814,Male
13814,Female
47999,Male
47999,Female
11308,Male
11308,Female
25016,Male
25016,Female
12691,Male
12691,Female
12520,Male
12520,Female
29295,Male
29295,Female
2472,Male
2472,Female
21143,Male
21143,Female
1281,Male
1281,Female
37504,Male
37504,Female
21138,Male
21138,Female
25312,Male
25312,Female
30871,Male
30871,Female
9567,Male
9567,Female
41711,Male
41711,Female
20487,Male
20487,Female
705,Male
705,Female
23424,Male
23424,Female
30245,Male
30245,Female
24148,Male
24148,Female
31733,Male
31733,Female
22038,Male
22038,Female
33580,Male
33580,Female
11312,Male
11312,Female
36366,Male
36366,Female
34040,Male
34040,Female
35146,Male
35146,Female
38742,Male
38742,Female
13674,Male
13674,Female
27604,Male
27604,Female
20821,Male
20821,Female
30767,Male
30767,Female
10516,Male
10516,Female
16086,Male
16086,Female
5268,Male
5268,Female
18349,Male
18349,Female
9090,Male
9090,Female
16392,Male
16392,Female
11900,Male
11900,Female
18892,Male
18892,Female
4349,Male
4349,Female
40162,Male
40162,Female
4281,Male
4281,Female
8258,Male
8258,Female
37474,Male
37474,Female
36797,Male
36797,Female
27054,Male
27054,Female
24552,Male
24552,Female
28128,Male
28128,Female
47396,Male
47396,Female
26128,Male
26128,Female
41575,Male
41575,Female
47090,Male
47090,Female
26062,Male
26062,Female
42281,Male
42281,Female
2824,Male
2824,Female
33825,Male
33825,Female
26727,Male
26727,Female
13036,Male
13036,Female
31004,Male
31004,Female
