record_id,workclass
14232,Federal-gov
14232,Local-gov
14232,Private
14232,Self-emp-inc
14232,Self-emp-not-inc
14232,State-gov
14232,Without-pay
11186,Federal-gov
11186,Local-gov
11186,Private
11186,Self-emp-inc
11186,Self-emp-not-inc
11186,State-gov
11186,Without-pay
22534,Federal-gov
22534,Local-gov
22534,Private
22534,Self-emp-inc
22534,Self-emp-not-inc
22534,State-gov
22534,Without-pay
26943,Federal-gov
26943,Local-gov
26943,Private
26943,Self-emp-inc
26943,Self-emp-not-inc
26943,State-gov
26943,Without-pay
47375,Federal-gov
47375,Local-gov
47375,Private
47375,Self-emp-inc
47375,Self-emp-not-inc
47375,State-gov
47375,Without-pay
4501,Federal-gov
4501,Local-gov
4501,Private
4501,Self-emp-inc
4501,Self-emp-not-inc
4501,State-gov
4501,Without-pay
19030,Federal-gov
19030,Local-gov
19030,Private
19030,Self-emp-inc
19030,Self-emp-not-inc
19030,State-gov
19030,Without-pay
18639,Private
44469,Federal-gov
44469,Local-gov
44469,Private
44469,Self-emp-inc
44469,Self-emp-not-inc
44469,State-gov
44469,Without-pay
5871,Federal-gov
5871,Local-gov
5871,State-gov
30699,Federal-gov
30699,Local-gov
30699,Private
30699,Self-emp-inc
30699,Self-emp-not-inc
30699,State-gov
30699,Without-pay
5408,Federal-gov
5408,Local-gov
5408,Private
5408,Self-emp-inc
5408,Self-emp-not-inc
5408,State-gov
5408,Without-pay
44628,Federal-gov
44628,Local-gov
44628,Private
44628,Self-emp-inc
44628,Self-emp-not-inc
44628,State-gov
44628,Without-pay
36591,Private
3715,Federal-gov
3715,Local-gov
3715,Private
3715,Self-emp-inc
3715,Self-emp-not-inc
3715,State-gov
3715,Without-pay
42759,Federal-gov
42759,Local-gov
42759,Private
42759,Self-emp-inc
42759,Self-emp-not-inc
42759,State-gov
42759,Without-pay
36686,Federal-gov
36686,Local-gov
36686,Private
36686,Self-emp-inc
36686,Self-emp-not-inc
36686,State-gov
36686,Without-pay
1952,Private
24576,Federal-gov
24576,Local-gov
24576,Private
24576,Self-emp-inc
24576,Self-emp-not-inc
24576,State-gov
24576,Without-pay
39413,Federal-gov
39413,Local-gov
39413,Private
39413,Self-emp-inc
39413,Self-emp-not-inc
39413,State-gov
39413,Without-pay
7878,Federal-gov
7878,Local-gov
7878,Private
7878,Self-emp-inc
7878,Self-emp-not-inc
7878,State-gov
7878,Without-pay
34563,Private
45305,Federal-gov
45305,Local-gov
45305,Private
45305,Self-emp-inc
45305,Self-emp-not-inc
45305,State-gov
45305,Without-pay
47265,Self-emp-inc
47265,Self-emp-not-inc
22468,Federal-gov
22468,Local-gov
22468,Private
22468,Self-emp-inc
22468,Self-emp-not-inc
22468,State-gov
22468,Without-pay
30265,Private
16495,Federal-gov
16495,Local-gov
16495,Private
16495,Self-emp-inc
16495,Self-emp-not-inc
16495,State-gov
16495,Without-pay
23408,Federal-gov
23408,Local-gov
23408,Private
23408,Self-emp-inc
23408,Self-emp-not-inc
23408,State-gov
23408,Without-pay
8649,Private
24059,Private
21991,Federal-gov
21991,Local-gov
21991,Private
21991,Self-emp-inc
21991,Self-emp-not-inc
21991,State-gov
21991,Without-pay
38068,Federal-gov
38068,Local-gov
38068,Private
38068,Self-emp-inc
38068,Self-emp-not-inc
38068,State-gov
38068,Without-pay
37962,Federal-gov
37962,Local-gov
37962,Private
37962,Self-emp-inc
37962,Self-emp-not-inc
37962,State-gov
37962,Without-pay
23963,Federal-gov
23963,Local-gov
23963,Private
23963,Self-emp-inc
23963,Self-emp-not-inc
23963,State-gov
23963,Without-pay
2844,Self-emp-inc
2844,Self-emp-not-inc
38514,Private
1033,Private
551,Federal-gov
551,Local-gov
551,Private
551,Self-emp-inc
551,Self-emp-not-inc
551,State-gov
551,Without-pay
9742,Federal-gov
9742,Local-gov
9742,Private
9742,Self-emp-inc
9742,Self-emp-not-inc
9742,State-gov
9742,Without-pay
26253,Self-emp-inc
26253,Self-emp-not-inc
46680,Federal-gov
46680,Local-gov
46680,Private
46680,Self-emp-inc
46680,Self-emp-not-inc
46680,State-gov
46680,Without-pay
42875,Federal-gov
42875,Local-gov
42875,Private
42875,Self-emp-inc
42875,Self-emp-not-inc
42875,State-gov
42875,Without-pay
16589,Federal-gov
16589,Local-gov
16589,Private
16589,Self-emp-inc
16589,Self-emp-not-inc
16589,State-gov
16589,Without-pay
47353,Federal-gov
47353,Local-gov
47353,Private
47353,Self-emp-inc
47353,Self-emp-not-inc
47353,State-gov
47353,Without-pay
42587,Private
17936,Self-emp-inc
17936,Self-emp-not-inc
47080,Private
36501,Private
17371,Self-emp-inc
17371,Self-emp-not-inc
4248,Federal-gov
4248,Local-gov
4248,Private
4248,Self-emp-inc
4248,Self-emp-not-inc
4248,State-gov
4248,Without-pay
27544,Federal-gov
27544,Local-gov
27544,Private
27544,Self-emp-inc
27544,Self-emp-not-inc
27544,State-gov
27544,Without-pay
28487,Private
37983,Federal-gov
37983,Local-gov
37983,Private
37983,Self-emp-inc
37983,Self-emp-not-inc
37983,State-gov
37983,Without-pay
32403,Private
22479,Private
6873,Federal-gov
6873,Local-gov
6873,Private
6873,Self-emp-inc
6873,Self-emp-not-inc
6873,State-gov
6873,Without-pay
31817,Private
8366,Private
27006,Private
17995,Federal-gov
17995,Local-gov
17995,Private
17995,Self-emp-inc
17995,Self-emp-not-inc
17995,State-gov
17995,Without-pay
3614,Private
47443,Private
24774,Private
24839,Private
15362,Private
32646,Federal-gov
32646,Local-gov
32646,Private
32646,Self-emp-inc
32646,Self-emp-not-inc
32646,State-gov
32646,Without-pay
1147,Federal-gov
1147,Local-gov
1147,Private
1147,Self-emp-inc
1147,Self-emp-not-inc
1147,State-gov
1147,Without-pay
9835,Federal-gov
9835,Local-gov
9835,Private
9835,Self-emp-inc
9835,Self-emp-not-inc
9835,State-gov
9835,Without-pay
47386,Federal-gov
47386,Local-gov
47386,Private
47386,Self-emp-inc
47386,Self-emp-not-inc
47386,State-gov
47386,Without-pay
27417,Federal-gov
27417,Local-gov
27417,State-gov
7822,Federal-gov
7822,Local-gov
7822,Private
7822,Self-emp-inc
7822,Self-emp-not-inc
7822,State-gov
7822,Without-pay
25062,Private
47098,Private
3336,Private
30997,Federal-gov
30997,Local-gov
30997,Private
30997,Self-emp-inc
30997,Self-emp-not-inc
30997,State-gov
30997,Without-pay
25117,Federal-gov
25117,Local-gov
25117,Private
25117,Self-emp-inc
25117,Self-emp-not-inc
25117,State-gov
25117,Without-pay
22611,Private
35661,Private
17137,Federal-gov
17137,Local-gov
17137,Private
17137,Self-emp-inc
17137,Self-emp-not-inc
17137,State-gov
17137,Without-pay
34693,Federal-gov
34693,Local-gov
34693,Private
34693,Self-emp-inc
34693,Self-emp-not-inc
34693,State-gov
34693,Without-pay
21655,Private
30347,Federal-gov
30347,Local-gov
30347,Private
30347,Self-emp-inc
30347,Self-emp-not-inc
30347,State-gov
30347,Without-pay
11843,Private
14787,Federal-gov
14787,Local-gov
14787,Private
14787,Self-emp-inc
14787,Self-emp-not-inc
14787,State-gov
14787,Without-pay
25557,Federal-gov
25557,Local-gov
25557,Private
25557,Self-emp-inc
25557,Self-emp-not-inc
25557,State-gov
25557,Without-pay
41865,Private
41546,Self-emp-inc
41546,Self-emp-not-inc
13251,Federal-gov
13251,Local-gov
13251,Private
13251,Self-emp-inc
13251,Self-emp-not-inc
13251,State-gov
13251,Without-pay
11679,Federal-gov
11679,Local-gov
11679,Private
11679,Self-emp-inc
11679,Self-emp-not-inc
11679,State-gov
11679,Without-pay
1463,Federal-gov
1463,Local-gov
1463,Private
1463,Self-emp-inc
1463,Self-emp-not-inc
1463,State-gov
1463,Without-pay
33334,Federal-gov
33334,Local-gov
33334,Private
33334,Self-emp-inc
33334,Self-emp-not-inc
33334,State-gov
33334,Without-pay
15330,Private
34139,Private
8887,Self-emp-inc
8887,Self-emp-not-inc
7192,Federal-gov
7192,Local-gov
7192,Private
7192,Self-emp-inc
7192,Self-emp-not-inc
7192,State-gov
7192,Without-pay
18822,Federal-gov
18822,Local-gov
18822,Private
18822,Self-emp-inc
18822,Self-emp-not-inc
18822,State-gov
18822,Without-pay
45197,Federal-gov
45197,Local-gov
45197,State-gov
46027,Federal-gov
46027,Local-gov
46027,Private
46027,Self-emp-inc
46027,Self-emp-not-inc
46027,State-gov
46027,Without-pay
2993,Private
32891,Private
46125,Federal-gov
46125,Local-gov
46125,Private
46125,Self-emp-inc
46125,Self-emp-not-inc
46125,State-gov
46125,Without-pay
674,Federal-gov
674,Local-gov
674,Private
674,Self-emp-inc
674,Self-emp-not-inc
674,State-gov
674,Without-pay
31996,Federal-gov
31996,Local-gov
31996,Private
31996,Self-emp-inc
31996,Self-emp-not-inc
31996,State-gov
31996,Without-pay
36980,Federal-gov
36980,Local-gov
36980,Private
36980,Self-emp-inc
36980,Self-emp-not-inc
36980,State-gov
36980,Without-pay
10160,Federal-gov
10160,Local-gov
10160,Private
10160,Self-emp-inc
10160,Self-emp-not-inc
10160,State-gov
10160,Without-pay
42753,Private
8248,Private
44551,Federal-gov
44551,Local-gov
44551,Private
44551,Self-emp-inc
44551,Self-emp-not-inc
44551,State-gov
44551,Without-pay
36345,Federal-gov
36345,Local-gov
36345,Private
36345,Self-emp-inc
36345,Self-emp-not-inc
36345,State-gov
36345,Without-pay
4948,Federal-gov
4948,Local-gov
4948,State-gov
9994,Federal-gov
9994,Local-gov
9994,Private
9994,Self-emp-inc
9994,Self-emp-not-inc
9994,State-gov
9994,Without-pay
42795,Federal-gov
42795,Local-gov
42795,Private
42795,Self-emp-inc
42795,Self-emp-not-inc
42795,State-gov
42795,Without-pay
33220,Private
16546,Private
34719,Federal-gov
34719,Local-gov
34719,Private
34719,Self-emp-inc
34719,Self-emp-not-inc
34719,State-gov
34719,Without-pay
46484,Self-emp-inc
46484,Self-emp-not-inc
40025,Federal-gov
40025,Local-gov
40025,State-gov
47198,Federal-gov
47198,Local-gov
47198,Private
