record_id,capital-gain
14232,50000
11186,50000
22534,50000
26943,50000
47375,50000
4501,50
19030,50000
18639,50
44469,50
5871,50
30699,50000
5408,50
44628,50
36591,15000
3715,50000
42759,50000
36686,50000
1952,50000
24576,50
39413,50000
7878,50000
34563,50
45305,50000
47265,50
22468,50000
30265,50
16495,50000
23408,50000
8649,50
24059,50000
21991,50000
38068,50
37962,50
23963,50
2844,50000
38514,50000
1033,50000
551,50000
9742,50000
26253,50
46680,50000
42875,50
16589,50
47353,50000
42587,50000
17936,50
47080,50000
36501,50
17371,50000
4248,50
27544,50000
28487,50000
37983,50000
32403,50000
22479,50
6873,50000
31817,50000
8366,3500
27006,50
17995,50
3614,50000
47443,50000
24774,50
24839,50000
15362,50000
32646,50
1147,50
9835,50000
47386,50000
27417,50
7822,50
25062,50
47098,50
3336,50000
30997,50000
25117,50
22611,50
35661,50000
17137,50
34693,50
21655,50000
30347,50
11843,50
14787,50000
25557,3500
41865,50
41546,50
13251,50000
11679,50
1463,50
33334,50
15330,50
34139,50
8887,50
7192,50000
18822,50000
45197,7500
46027,50000
2993,50000
32891,50000
46125,50
674,50000
31996,50000
36980,50000
10160,50000
42753,50
8248,50000
44551,50
36345,50000
4948,50
9994,50000
42795,50000
33220,50
16546,50000
34719,50000
46484,50
40025,50
47198,50
10534,3500
39875,50000
12658,50000
45324,50
43970,50
19800,50000
45101,50
38965,550
14382,50000
32288,50000
31808,50000
2481,50000
1587,50000
38038,50000
45740,50000
29464,50
35345,50000
33448,50000
13955,50000
44555,50
14464,50000
24245,50000
23349,50
25316,50
9328,50000
31760,50000
20467,50000
7405,50
32610,50
34470,50000
34011,50
24914,50000
35450,50000
16132,50
24141,50000
12633,50000
25030,50000
11756,50
22939,50
43109,50
18893,50000
20512,50
25143,50
1856,50000
9441,50
35133,50000
17307,50000
23497,50000
4820,50
9372,50
20672,50
21547,50000
11789,50
13520,50
17495,50
1658,50000
24471,50
21076,50000
20543,50000
10426,50000
17848,50000
47066,50
13814,50
47999,50000
11308,50
25016,50
12691,50000
12520,50
29295,50
2472,50
21143,50
1281,50
37504,50
21138,50000
25312,50
30871,50000
9567,50
41711,50
20487,50000
705,50
23424,50
30245,50
24148,50000
31733,15000
22038,50000
33580,50
11312,50
36366,50
34040,50
35146,50000
38742,50
13674,50
27604,50
20821,50000
30767,50
10516,50
