record_id,capital-loss
14232,2178
11186,50
22534,50
26943,1500
47375,50
4501,50
19030,50
18639,2178
44469,50
5871,50
30699,50
5408,2178
44628,50
36591,2178
3715,50
42759,2178
36686,2178
1952,50
24576,2178
39413,2178
7878,50
34563,2178
45305,2178
47265,50
22468,50
30265,2178
16495,50
23408,2178
8649,50
24059,50
21991,50
38068,50
37962,2178
23963,2178
2844,50
38514,50
1033,50
551,2178
9742,2178
26253,50
46680,2178
42875,50
16589,50
47353,50
42587,50
17936,50
47080,50
36501,50
17371,50
4248,50
27544,50
28487,2178
37983,1500
32403,2178
22479,50
6873,50
31817,2178
8366,2178
27006,50
17995,2178
3614,50
47443,50
24774,2178
24839,50
15362,2178
32646,2178
1147,50
9835,2178
47386,50
27417,50
7822,2178
25062,2178
47098,50
3336,2178
30997,50
25117,2178
22611,2178
35661,2178
17137,50
34693,50
21655,2178
30347,2178
11843,50
14787,2178
25557,2178
41865,50
41546,2178
13251,50
11679,50
1463,50
33334,2178
15330,1500
34139,50
8887,2178
7192,2178
18822,50
45197,50
46027,2178
2993,50
32891,2178
46125,50
674,2178
31996,2178
36980,2178
10160,50
42753,2178
8248,50
44551,50
36345,50
4948,2178
9994,2178
42795,2178
33220,50
16546,50
34719,2178
46484,2178
40025,2178
47198,2178
10534,2178
39875,2178
12658,50
45324,2178
43970,2178
19800,2178
45101,50
38965,2178
14382,2178
32288,50
31808,2178
2481,2178
1587,2178
38038,2178
45740,50
29464,50
35345,2178
33448,2178
13955,50
44555,50
14464,2178
24245,50
23349,2178
25316,50
9328,2178
31760,2178
20467,50
7405,2178
32610,2178
34470,2178
34011,2178
24914,2178
35450,2178
16132,50
24141,50
12633,50
25030,50
11756,50
22939,2178
43109,50
18893,50
20512,2178
25143,50
1856,2178
9441,2178
35133,50
17307,50
23497,50
4820,2178
9372,2178
20672,2178
21547,50
11789,50
13520,2178
17495,2178
1658,50
24471,50
21076,2178
20543,2178
10426,50
17848,2178
47066,2178
13814,50
47999,50
11308,2178
25016,2178
12691,50
12520,2178
29295,50
2472,50
21143,2178
1281,50
37504,50
21138,2178
25312,2178
30871,50
9567,50
41711,50
20487,50
705,2178
23424,2178
30245,2178
24148,50
