record_id,fnlwgt
14232,300000
11186,300000
22534,300000
26943,751946
47375,300000
4501,751946
19030,751946
18639,751946
44469,75000
5871,300000
30699,300000
5408,300000
44628,300000
36591,300000
3715,751946
42759,300000
36686,995200
1952,751946
24576,751946
39413,751946
7878,751946
34563,751946
45305,300000
47265,751946
22468,751946
30265,751946
16495,751946
23408,300000
8649,300000
24059,75000
21991,300000
38068,300000
37962,300000
23963,751946
2844,300000
38514,751946
1033,751946
551,31746
9742,751946
26253,751946
46680,300000
42875,751946
16589,300000
47353,31746
42587,751946
17936,751946
47080,300000
36501,300000
17371,751946
4248,751946
27544,300000
28487,751946
37983,751946
32403,751946
22479,751946
6873,751946
31817,300000
8366,300000
27006,300000
17995,751946
3614,300000
47443,751946
24774,751946
24839,300000
15362,300000
32646,751946
1147,751946
9835,300000
47386,751946
27417,31746
7822,751946
25062,751946
47098,751946
3336,751946
30997,300000
25117,300000
22611,300000
35661,300000
17137,300000
34693,75000
21655,300000
30347,751946
11843,751946
14787,751946
25557,751946
41865,751946
41546,751946
13251,75000
11679,300000
1463,751946
33334,751946
15330,75000
34139,300000
8887,751946
7192,751946
18822,75000
45197,300000
46027,751946
2993,300000
32891,751946
46125,31746
674,751946
31996,751946
36980,300000
10160,751946
42753,751946
8248,75000
44551,31746
36345,751946
4948,751946
9994,300000
42795,75000
33220,751946
16546,751946
34719,751946
46484,300000
40025,751946
47198,751946
10534,300000
39875,751946
12658,300000
45324,751946
43970,300000
19800,300000
45101,300000
38965,751946
14382,300000
32288,75000
31808,300000
2481,300000
1587,751946
38038,751946
45740,751946
29464,751946
35345,300000
33448,300000
13955,751946
44555,300000
14464,751946
24245,751946
23349,751946
25316,751946
9328,300000
31760,751946
20467,751946
7405,751946
32610,751946
34470,751946
34011,751946
24914,751946
35450,751946
16132,300000
24141,751946
12633,751946
25030,300000
11756,751946
22939,31746
43109,751946
18893,751946
20512,300000
25143,751946
1856,75000
9441,751946
35133,751946
17307,300000
23497,751946
4820,751946
9372,300000
20672,75000
21547,31746
11789,75000
13520,995200
17495,751946
1658,751946
24471,751946
21076,751946
20543,300000
10426,300000
17848,751946
47066,751946
13814,300000
47999,300000
11308,751946
25016,751946
12691,751946
12520,300000
29295,300000
2472,300000
21143,300000
1281,300000
37504,751946
21138,751946
25312,751946
