record_id,race
14232,White
14232,Asian-Pac-Islander
14232,Amer-Indian-Eskimo
14232,Other
14232,Black
11186,White
11186,Asian-Pac-Islander
11186,Amer-Indian-Eskimo
11186,Other
11186,Black
22534,White
22534,Asian-Pac-Islander
22534,Amer-Indian-Eskimo
22534,Other
22534,Black
26943,White
26943,Asian-Pac-Islander
26943,Amer-Indian-Eskimo
26943,Other
26943,Black
47375,White
47375,Asian-Pac-Islander
47375,Amer-Indian-Eskimo
47375,Other
47375,Black
4501,White
4501,Asian-Pac-Islander
4501,Amer-Indian-Eskimo
4501,Other
4501,Black
19030,White
19030,Asian-Pac-Islander
19030,Amer-Indian-Eskimo
19030,Other
19030,Black
18639,White
18639,Asian-Pac-Islander
18639,Amer-Indian-Eskimo
18639,Other
18639,Black
44469,White
44469,Asian-Pac-Islander
44469,Amer-Indian-Eskimo
44469,Other
44469,Black
5871,White
5871,Asian-Pac-Islander
5871,Amer-Indian-Eskimo
5871,Other
5871,Black
30699,White
30699,Asian-Pac-Islander
30699,Amer-Indian-Eskimo
30699,Other
30699,Black
5408,White
5408,Asian-Pac-Islander
5408,Amer-Indian-Eskimo
5408,Other
5408,Black
44628,White
44628,Asian-Pac-Islander
44628,Amer-Indian-Eskimo
44628,Other
44628,Black
36591,White
36591,Asian-Pac-Islander
36591,Amer-Indian-Eskimo
36591,Other
36591,Black
3715,White
3715,Asian-Pac-Islander
3715,Amer-Indian-Eskimo
3715,Other
3715,Black
42759,White
42759,Asian-Pac-Islander
42759,Amer-Indian-Eskimo
42759,Other
42759,Black
36686,White
36686,Asian-Pac-Islander
36686,Amer-Indian-Eskimo
36686,Other
36686,Black
1952,White
1952,Asian-Pac-Islander
1952,Amer-Indian-Eskimo
1952,Other
1952,Black
24576,White
24576,Asian-Pac-Islander
24576,Amer-Indian-Eskimo
24576,Other
24576,Black
39413,White
39413,Asian-Pac-Islander
39413,Amer-Indian-Eskimo
39413,Other
39413,Black
7878,White
7878,Asian-Pac-Islander
7878,Amer-Indian-Eskimo
7878,Other
7878,Black
34563,White
34563,Asian-Pac-Islander
34563,Amer-Indian-Eskimo
34563,Other
34563,Black
45305,White
45305,Asian-Pac-Islander
45305,Amer-Indian-Eskimo
45305,Other
45305,Black
47265,White
47265,Asian-Pac-Islander
