record_id,relationship
14232,Husband
14232,Not-in-family
14232,Other-relative
14232,Own-child
14232,Unmarried
14232,Wife
11186,Husband
11186,Not-in-family
11186,Other-relative
11186,Own-child
11186,Unmarried
11186,Wife
22534,Husband
22534,Not-in-family
22534,Other-relative
22534,Own-child
22534,Unmarried
22534,Wife
26943,Husband
26943,Other-relative
26943,Own-child
26943,Wife
47375,Husband
47375,Other-relative
47375,Own-child
47375,Wife
4501,Husband
4501,Not-in-family
4501,Other-relative
4501,Own-child
4501,Unmarried
4501,Wife
19030,Not-in-family
19030,Unmarried
18639,Husband
18639,Not-in-family
18639,Other-relative
18639,Own-child
18639,Unmarried
18639,Wife
44469,Husband
44469,Not-in-family
44469,Other-relative
44469,Own-child
44469,Unmarried
44469,Wife
5871,Husband
5871,Not-in-family
5871,Other-relative
5871,Own-child
5871,Unmarried
5871,Wife
30699,Not-in-family
30699,Unmarried
5408,Husband
5408,Other-relative
5408,Own-child
5408,Wife
44628,Not-in-family
44628,Unmarried
36591,Husband
36591,Not-in-family
36591,Other-relative
36591,Own-child
36591,Unmarried
36591,Wife
3715,Husband
3715,Not-in-family
3715,Other-relative
3715,Own-child
3715,Unmarried
3715,Wife
42759,Husband
42759,Not-in-family
42759,Other-relative
42759,Own-child
42759,Unmarried
42759,Wife
36686,Not-in-family
36686,Unmarried
1952,Not-in-family
1952,Unmarried
24576,Husband
24576,Other-relative
24576,Own-child
24576,Wife
39413,Husband
39413,Other-relative
39413,Own-child
39413,Wife
7878,Husband
7878,Not-in-family
7878,Other-relative
7878,Own-child
7878,Unmarried
7878,Wife
34563,Husband
34563,Not-in-family
34563,Other-relative
34563,Own-child
34563,Unmarried
34563,Wife
45305,Husband
45305,Other-relative
45305,Own-child
45305,Wife
47265,Husband
47265,Not-in-family
47265,Other-relative
47265,Own-child
47265,Unmarried
47265,Wife
22468,Husband
22468,Other-relative
22468,Own-child
22468,Wife
30265,Husband
30265,Not-in-family
30265,Other-relative
30265,Own-child
30265,Unmarried
30265,Wife
16495,Not-in-family
16495,Unmarried
23408,Husband
23408,Not-in-family
23408,Other-relative
23408,Own-child
23408,Unmarried
23408,Wife
8649,Husband
8649,Not-in-family
8649,Other-relative
8649,Own-child
8649,Unmarried
8649,Wife
24059,Husband
24059,Not-in-family
24059,Other-relative
24059,Own-child
24059,Unmarried
24059,Wife
21991,Husband
21991,Not-in-family
21991,Other-relative
21991,Own-child
21991,Unmarried
21991,Wife
38068,Husband
38068,Other-relative
38068,Own-child
38068,Wife
37962,Husband
37962,Not-in-family
37962,Other-relative
37962,Own-child
37962,Unmarried
37962,Wife
23963,Husband
23963,Not-in-family
23963,Other-relative
23963,Own-child
23963,Unmarried
23963,Wife
2844,Husband
2844,Not-in-family
2844,Other-relative
2844,Own-child
2844,Unmarried
2844,Wife
38514,Husband
38514,Not-in-family
38514,Other-relative
38514,Own-child
38514,Unmarried
38514,Wife
1033,Not-in-family
1033,Unmarried
551,Not-in-family
551,Unmarried
9742,Husband
9742,Not-in-family
9742,Other-relative
9742,Own-child
9742,Unmarried
9742,Wife
26253,Husband
26253,Other-relative
26253,Own-child
26253,Wife
46680,Husband
46680,Not-in-family
46680,Other-relative
46680,Own-child
46680,Unmarried
46680,Wife
42875,Not-in-family
42875,Unmarried
16589,Not-in-family
16589,Unmarried
47353,Husband
47353,Other-relative
47353,Own-child
47353,Wife
42587,Husband
42587,Not-in-family
42587,Other-relative
42587,Own-child
42587,Unmarried
42587,Wife
17936,Husband
17936,Other-relative
17936,Own-child
17936,Wife
47080,Husband
47080,Not-in-family
47080,Other-relative
47080,Own-child
47080,Unmarried
47080,Wife
36501,Husband
36501,Not-in-family
36501,Other-relative
36501,Own-child
36501,Unmarried
36501,Wife
17371,Husband
17371,Not-in-family
17371,Other-relative
17371,Own-child
