record_id,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
14232,mittel,?,[100000-499999],high_school_graduate,married,?,?,?,?,?,?,mittel,?,0
11186,mittel,?,[100000-499999],?,married,tech,?,?,?,?,[0-99],?,Amerika,0
22534,jung,?,[100000-499999],high_school_graduate,not_married,?,?,?,?,?,[0-99],mittel,?,0
26943,?,?,?,?,married,?,related,?,?,?,[1000-1999],mittel,Amerika,1
47375,mittel,?,[100000-499999],high_school_graduate,?,craft,related,?,?,?,[0-99],mittel,Amerika,0
4501,mittel,?,?,high_school_graduate,not_married,?,?,?,?,[0-99],[0-99],?,Amerika,0
19030,?,?,?,?,?,?,not_related,?,?,?,[0-99],mittel,Amerika,0
18639,?,private_sector,?,?,married,?,?,?,?,[0-99],?,?,?,0
44469,jung,?,[50000-99999],?,?,admin_and_sales,?,?,?,[0-99],[0-99],mittel,Amerika,0
5871,mittel,gov,[100000-499999],?,?,?,?,?,?,[0-99],[0-99],?,?,1
30699,?,?,[100000-499999],bachelor_and_higher,separeted_divorced,serives,not_related,?,?,?,[0-99],mittel,?,0
5408,?,?,[100000-499999],?,?,admin_and_sales,related,?,?,[0-99],?,viel,Amerika,1
44628,mittel,?,[100000-499999],high_school_graduate,separeted_divorced,craft,not_related,?,?,[0-99],[0-99],mittel,Amerika,0
36591,?,private_sector,[100000-499999],high_school_graduate,?,craft,?,?,?,[10000-19999],?,mittel,Amerika,1
3715,?,?,?,?,not_married,admin_and_sales,?,?,?,?,[0-99],?,Amerika,0
42759,?,?,[100000-499999],high_school,separeted_divorced,?,?,?,?,?,?,?,?,0
36686,mittel,?,[500000-1490400],high_school_graduate,not_married,?,not_related,?,?,?,?,mittel,Amerika,0
1952,?,private_sector,?,bachelor_and_higher,?,professional_management,not_related,?,?,?,[0-99],?,Amerika,0
24576,mittel,?,?,high_school_graduate,married,?,related,?,?,[0-99],?,viel,?,1
39413,mittel,?,?,?,separeted_divorced,professional_management,related,?,?,?,?,?,Amerika,0
7878,mittel,?,?,high_school_graduate,married,?,?,?,?,?,[0-99],?,?,1
34563,alt,private_sector,?,?,?,serives,?,?,?,[0-99],?,mittel,?,0
45305,?,?,[100000-499999],bachelor_and_higher,married,?,related,?,?,?,?,mittel,Asien,1
47265,?,self_emp,?,high_school_graduate,married,?,?,?,?,[0-99],[0-99],mittel,?,0
22468,?,?,?,?,?,?,related,?,?,?,[0-99],viel,Amerika,0
30265,mittel,private_sector,?,high_school_graduate,not_married,craft,?,?,?,[0-99],?,mittel,Amerika,0
16495,?,?,?,high_school,separeted_divorced,serives,not_related,?,?,?,[0-99],?,Amerika,0
23408,jung,?,[100000-499999],?,?,?,?,?,?,?,?,wenig,Amerika,0
8649,mittel,private_sector,[100000-499999],high_school_graduate,married,?,?,?,?,[0-99],[0-99],viel,?,0
24059,jung,private_sector,[50000-99999],high_school_graduate,?,?,?,?,?,?,[0-99],mittel,?,0
21991,mittel,?,[100000-499999],high_school_graduate,married,?,?,?,?,?,[0-99],mittel,Amerika,0
38068,mittel,?,[100000-499999],?,separeted_divorced,admin_and_sales,related,?,?,[0-99],[0-99],mittel,?,0
37962,mittel,?,[100000-499999],high_school_graduate,?,?,?,?,?,[0-99],?,mittel,?,0
23963,jung,?,?,?,not_married,admin_and_sales,?,?,?,[0-99],?,mittel,Amerika,0
2844,mittel,self_emp,[100000-499999],high_school_graduate,?,admin_and_sales,?,?,?,?,[0-99],?,Amerika,1
38514,jung,private_sector,?,?,?,serives,?,?,?,?,[0-99],mittel,?,1
1033,mittel,private_sector,?,?,not_married,serives,not_related,?,?,?,[0-99],?,?,0
551,mittel,?,[13492-49999],?,?,?,not_related,?,?,?,?,mittel,?,0
9742,alt,?,?,high_school_graduate,?,craft,?,?,?,?,?,mittel,Amerika,0
26253,?,self_emp,?,?,married,?,related,?,?,[0-99],[0-99],mittel,?,1
46680,mittel,?,[100000-499999],?,married,professional_management,?,?,?,?,?,?,Amerika,1
42875,mittel,?,?,high_school_graduate,?,craft,not_related,?,?,[0-99],[0-99],mittel,?,0
16589,mittel,?,[100000-499999],?,not_married,professional_management,not_related,?,?,[0-99],[0-99],mittel,?,0
47353,?,?,[13492-49999],high_school_graduate,?,?,related,?,?,?,[0-99],wenig,Amerika,0
42587,mittel,private_sector,?,high_school_graduate,?,?,?,?,?,?,[0-99],mittel,Amerika,0
17936,jung,self_emp,?,bachelor_and_higher,married,admin_and_sales,related,?,?,[0-99],[0-99],mittel,?,1
47080,jung,private_sector,[100000-499999],high_school_graduate,?,craft,?,?,?,?,[0-99],?,Amerika,0
36501,mittel,private_sector,[100000-499999],high_school_graduate,?,?,?,?,?,[0-99],[0-99],?,Amerika,0
17371,mittel,self_emp,?,high_school_graduate,married,professional_management,?,?,?,?,[0-99],?,?,0
4248,?,?,?,high_school,not_married,serives,not_related,?,?,[0-99],[0-99],?,?,0
27544,jung,?,[100000-499999],high_school_graduate,?,admin_and_sales,?,?,?,?,[0-99],?,?,0
28487,?,private_sector,?,?,married,?,?,?,?,?,?,viel,Europa,0
37983,mittel,?,?,?,married,professional_management,related,?,?,?,[1000-1999],mittel,Amerika,1
32403,?,private_sector,?,elementary_school,?,tech,?,?,?,?,?,?,Europa,0
22479,?,private_sector,?,high_school,?,admin_and_sales,related,?,?,[0-99],[0-99],wenig,Amerika,0
6873,?,?,?,?,?,?,?,?,?,?,[0-99],?,Amerika,0
31817,mittel,private_sector,[100000-499999],?,married,?,?,?,?,?,?,mittel,Amerika,0
8366,alt,private_sector,[100000-499999],bachelor_and_higher,married,?,related,?,?,[2000-4999],?,mittel,?,1
27006,mittel,private_sector,[100000-499999],high_school_graduate,?,serives,not_related,?,?,[0-99],[0-99],?,?,0
17995,jung,?,?,high_school_graduate,not_married,?,?,?,?,[0-99],?,mittel,Amerika,0
3614,?,private_sector,[100000-499999],high_school_graduate,?,?,?,?,?,?,[0-99],mittel,?,0
47443,?,private_sector,?,?,not_married,?,related,?,?,?,[0-99],wenig,Amerika,0
24774,mittel,private_sector,?,high_school_graduate,not_married,?,?,?,?,[0-99],?,mittel,?,0
24839,?,private_sector,[100000-499999],bachelor_and_higher,married,?,?,?,?,?,[0-99],?,?,1
15362,?,private_sector,[100000-499999],?,not_married,?,?,?,?,?,?,mittel,Amerika,0
32646,mittel,?,?,high_school_graduate,?,tech,?,?,?,[0-99],?,mittel,?,0
1147,mittel,?,?,high_school_graduate,?,tech,related,?,?,[0-99],[0-99],?,Amerika,0
9835,mittel,?,[100000-499999],?,not_married,serives,?,?,?,?,?,?,?,0
47386,?,?,?,?,separeted_divorced,?,not_related,?,?,?,[0-99],?,?,0
27417,alt,gov,[13492-49999],high_school_graduate,?,professional_management,not_related,?,?,[0-99],[0-99],mittel,?,0
7822,alt,?,?,?,?,protective,?,?,?,[0-99],?,mittel,Amerika,0
25062,mittel,private_sector,?,?,married,professional_management,?,?,?,[0-99],?,?,Amerika,0
47098,mittel,private_sector,?,high_school_graduate,?,serives,?,?,?,[0-99],[0-99],mittel,Amerika,0
3336,mittel,private_sector,?,?,?,admin_and_sales,?,?,?,?,?,?,Amerika,1
30997,?,?,[100000-499999],high_school_graduate,?,?,related,?,?,?,[0-99],mittel,?,0
25117,mittel,?,[100000-499999],high_school_graduate,?,?,?,?,?,[0-99],?,?,?,0
22611,mittel,private_sector,[100000-499999],bachelor_and_higher,?,professional_management,not_related,?,?,[0-99],?,?,Amerika,1
35661,?,private_sector,[100000-499999],high_school,married,craft,?,?,?,?,?,?,?,1
17137,?,?,[100000-499999],high_school_graduate,?,admin_and_sales,?,?,?,[0-99],[0-99],mittel,Amerika,0
34693,mittel,?,[50000-99999],high_school_graduate,married,craft,?,?,?,[0-99],[0-99],mittel,?,0
21655,?,private_sector,[100000-499999],?,?,admin_and_sales,related,?,?,?,?,?,?,0
30347,mittel,?,?,?,?,?,?,?,?,[0-99],?,?,Afrika,0
11843,jung,private_sector,?,?,not_married,craft,?,?,?,[0-99],[0-99],?,Amerika,0
14787,mittel,?,?,?,married,admin_and_sales,related,?,?,?,?,mittel,Amerika,1
25557,mittel,?,?,?,married,professional_management,?,?,?,[2000-4999],?,?,Amerika,0
41865,?,private_sector,?,?,?,craft,related,?,?,[0-99],[0-99],?,Amerika,0
41546,mittel,self_emp,?,?,married,professional_management,related,?,?,[0-99],?,?,Amerika,0
13251,mittel,?,[50000-99999],high_school_graduate,?,?,?,?,?,?,[0-99],mittel,Amerika,0
11679,mittel,?,[100000-499999],?,separeted_divorced,professional_management,?,?,?,[0-99],[0-99],mittel,?,0
1463,?,?,?,high_school_graduate,?,craft,related,?,?,[0-99],[0-99],mittel,?,1
33334,mittel,?,?,?,not_married,admin_and_sales,?,?,?,[0-99],?,?,?,0
15330,?,private_sector,[50000-99999],high_school_graduate,?,?,?,?,?,[0-99],[1000-1999],?,?,0
34139,mittel,private_sector,[100000-499999],high_school,?,?,?,?,?,[0-99],[0-99],mittel,Amerika,0
8887,alt,self_emp,?,elementary_school,married,?,related,?,?,[0-99],?,?,Amerika,0
7192,?,?,?,?,?,?,not_related,?,?,?,?,mittel,?,0
18822,mittel,?,[50000-99999],?,not_married,admin_and_sales,?,?,?,?,[0-99],mittel,Amerika,0
45197,mittel,gov,[100000-499999],?,?,admin_and_sales,related,?,?,[5000-9999],[0-99],mittel,Amerika,1
46027,mittel,?,?,bachelor_and_higher,?,?,?,?,?,?,?,mittel,Amerika,0
2993,?,private_sector,[100000-499999],high_school,married,?,?,?,?,?,[0-99],mittel,?,0
32891,?,private_sector,?,?,not_married,?,related,?,?,?,?,wenig,Amerika,0
46125,mittel,?,[13492-49999],?,not_married,serives,related,?,?,[0-99],[0-99],wenig,Amerika,0
674,mittel,?,?,high_school_graduate,married,admin_and_sales,?,?,?,?,?,mittel,Amerika,1
31996,mittel,?,?,?,?,craft,related,?,?,?,?,mittel,?,1
36980,mittel,?,[100000-499999],high_school_graduate,?,?,not_related,?,?,?,?,?,?,0
10160,?,?,?,high_school_graduate,?,?,?,?,?,?,[0-99],wenig,Amerika,0
42753,mittel,private_sector,?,high_school,not_married,protective,not_related,?,?,[0-99],?,mittel,Amerika,0
8248,jung,private_sector,[50000-99999],?,?,?,?,?,?,?,[0-99],?,?,0
44551,mittel,?,[13492-49999],?,?,?,not_related,?,?,[0-99],[0-99],mittel,Amerika,0
36345,alt,?,?,?,married,?,related,?,?,?,[0-99],mittel,Amerika,0
4948,?,gov,?,high_school_graduate,?,professional_management,?,?,?,[0-99],?,mittel,Amerika,0
9994,mittel,?,[100000-499999],?,?,craft,?,?,?,?,?,viel,?,0
42795,?,?,[50000-99999],high_school_graduate,?,serives,related,?,?,?,?,mittel,?,1
33220,mittel,private_sector,?,high_school_graduate,separeted_divorced,?,not_related,?,?,[0-99],[0-99],mittel,Amerika,0
16546,?,private_sector,?,high_school_graduate,?,craft,not_related,?,?,?,[0-99],mittel,Amerika,0
34719,?,?,?,?,?,?,?,?,?,?,?,mittel,?,0
46484,?,self_emp,[100000-499999],?,separeted_divorced,professional_management,not_related,?,?,[0-99],?,mittel,Amerika,0
40025,mittel,gov,?,?,married,?,?,?,?,[0-99],?,mittel,Amerika,0
47198,mittel,?,?,high_school_graduate,?,?,?,?,?,[0-99],?,mittel,?,0
10534,mittel,private_sector,[100000-499999],?,?,?,?,?,?,[2000-4999],?,mittel,?,1
39875,?,private_sector,?,?,married,professional_management,?,?,?,?,?,?,?,1
12658,mittel,private_sector,[100000-499999],high_school_graduate,?,?,?,?,?,?,[0-99],mittel,Amerika,0
45324,?,private_sector,?,high_school_graduate,not_married,?,not_related,?,?,[0-99],?,mittel,?,0
43970,?,?,[100000-499999],high_school,?,tech,?,?,?,[0-99],?,?,?,0
19800,mittel,self_emp,[100000-499999],high_school_graduate,not_married,craft,?,?,?,?,?,?,?,0
45101,mittel,?,[100000-499999],bachelor_and_higher,?,professional_management,?,?,?,[0-99],[0-99],mittel,?,1
38965,?,?,?,?,not_married,?,related,?,?,[100-999],?,wenig,?,0
14382,?,?,[100000-499999],high_school_graduate,?,tech,related,?,?,?,?,mittel,?,0
32288,jung,?,[50000-99999],?,?,?,related,?,?,?,[0-99],?,Amerika,0
31808,mittel,?,[100000-499999],high_school_graduate,?,?,not_related,?,?,?,?,?,?,0
2481,mittel,self_emp,[100000-499999],bachelor_and_higher,?,?,related,?,?,?,?,mittel,Amerika,1
1587,jung,self_emp,?,?,?,?,related,?,?,?,?,?,Amerika,0
38038,?,?,?,?,married,professional_management,?,?,?,?,?,?,Amerika,1
45740,alt,?,?,?,?,?,?,?,?,?,[0-99],mittel,Amerika,0
29464,mittel,gov,?,?,married,tech,related,?,?,[0-99],[0-99],mittel,Amerika,0
35345,mittel,?,[100000-499999],bachelor_and_higher,?,?,?,?,?,?,?,viel,Amerika,0
33448,mittel,?,[100000-499999],?,married,?,related,?,?,?,?,?,?,1
13955,mittel,gov,?,?,married,admin_and_sales,?,?,?,?,[0-99],?,Amerika,1
44555,mittel,private_sector,[100000-499999],?,separeted_divorced,serives,?,?,?,[0-99],[0-99],mittel,?,0
14464,mittel,?,?,?,?,?,related,?,?,?,?,?,Amerika,1
24245,mittel,gov,?,?,?,?,related,?,?,?,[0-99],?,?,0
23349,mittel,?,?,bachelor_and_higher,not_married,professional_management,?,?,?,[0-99],?,mittel,?,0
25316,mittel,private_sector,?,high_school_graduate,?,craft,?,?,?,[0-99],[0-99],viel,?,1
9328,jung,?,[100000-499999],high_school_graduate,?,serives,?,?,?,?,?,wenig,?,0
31760,jung,?,?,high_school_graduate,not_married,tech,related,?,?,?,?,mittel,Amerika,0
20467,?,private_sector,?,high_school_graduate,?,?,related,?,?,?,[0-99],mittel,Amerika,1
7405,mittel,?,?,?,separeted_divorced,?,not_related,?,?,[0-99],?,mittel,?,0
32610,?,self_emp,?,high_school_graduate,?,?,?,?,?,[0-99],?,mittel,Amerika,0
34470,alt,private_sector,?,?,married,craft,?,?,?,?,?,mittel,?,0
34011,?,gov,?,high_school_graduate,separeted_divorced,professional_management,not_related,?,?,[0-99],?,mittel,?,1
24914,mittel,?,?,high_school_graduate,separeted_divorced,serives,?,?,?,?,?,mittel,Amerika,0
35450,mittel,?,?,high_school_graduate,married,serives,related,?,?,?,?,?,Amerika,1
16132,?,private_sector,[100000-499999],high_school_graduate,?,?,not_related,?,?,[0-99],[0-99],?,?,0
24141,?,gov,?,?,?,?,?,?,?,?,[0-99],mittel,?,0
12633,mittel,gov,?,bachelor_and_higher,separeted_divorced,professional_management,not_related,?,?,?,[0-99],?,Amerika,0
25030,mittel,private_sector,[100000-499999],?,married,?,?,?,?,?,[0-99],mittel,?,0
11756,mittel,private_sector,?,?,?,craft,?,?,?,[0-99],[0-99],mittel,?,0
