record_id,capital-gain
14232,50000
11186,50
22534,50000
26943,0
47375,0
4501,50
19030,50
18639,50000
44469,50
5871,0
30699,50
5408,50000
44628,50000
36591,15024
3715,50
42759,50000
36686,50000
1952,50000
24576,50
39413,50000
7878,7500
34563,50
45305,50000
47265,0
22468,50000
30265,50
16495,0
23408,50
8649,0
24059,0
21991,50
38068,0
37962,0
23963,50
2844,7500
38514,50
1033,50
551,50
9742,50
26253,0
46680,0
42875,0
16589,50000
47353,0
42587,50000
17936,50
47080,0
36501,0
17371,0
4248,50
27544,50
28487,0
37983,50000
32403,0
22479,50000
6873,50000
31817,50
8366,3103
27006,50000
17995,0
3614,50
47443,50000
24774,50
24839,50000
15362,50
32646,50000
1147,50000
9835,0
47386,50
27417,0
7822,50000
25062,0
47098,0
3336,50
30997,50
25117,50
22611,50000
35661,0
17137,50000
34693,0
21655,50
30347,50
11843,50
14787,50000
25557,3500
41865,0
41546,50
13251,0
11679,0
1463,0
33334,50000
15330,50000
34139,50
8887,50000
7192,50000
18822,0
45197,50000
46027,0
2993,50000
32891,50000
46125,50
674,0
31996,50000
36980,50000
10160,50000
42753,0
8248,50000
44551,50
36345,4064
4948,50
9994,50000
42795,7500
33220,0
16546,50000
34719,50000
46484,0
40025,0
47198,50
10534,3103
39875,0
12658,50
45324,50
43970,0
19800,50
45101,0
38965,550
14382,0
32288,0
31808,50
2481,7688
1587,50
38038,50000
45740,0
29464,0
35345,50
33448,5178
13955,50000
44555,50
14464,0
24245,7500
23349,50000
25316,50
9328,0
31760,0
20467,50
7405,50
32610,0
34470,50
34011,0
24914,50000
35450,0
16132,50000
24141,50
12633,50
25030,50000
11756,50
22939,0
43109,50
18893,0
20512,50
25143,50000
1856,0
9441,0
35133,50
17307,0
23497,50000
4820,0
9372,0
20672,50000
21547,50
11789,50000
13520,50
17495,0
1658,50
24471,50
21076,0
20543,50000
10426,50
17848,50
47066,0
13814,0
47999,50
11308,0
25016,50
12691,50000
12520,50
29295,50
2472,50000
21143,50000
1281,0
37504,50000
21138,50000
25312,50000
30871,0
9567,0
41711,0
20487,50000
705,50000
23424,0
30245,0
24148,50000
31733,50000
22038,50000
33580,50
11312,50000
36366,0
34040,0
35146,50000
38742,50000
13674,50000
27604,0
20821,0
30767,50
10516,50
16086,50
5268,50
18349,50
9090,0
16392,50000
11900,0
18892,50000
4349,15000
40162,0
4281,50
8258,50000
37474,50000
36797,0
27054,50
24552,50
28128,0
47396,0
26128,0
41575,50
47090,50000
26062,50
42281,50
2824,50
33825,50000
26727,0
13036,50
31004,50000
25812,0
24637,50000
43544,50000
15857,50
14745,50000
9862,0
40760,50000
7747,50
16744,50
3742,50
25189,50
4126,0
37067,50
35262,50
9877,15000
41154,0
24831,50000
12552,50000
39989,0
44964,50
28700,50000
36491,50000
38523,50
18809,7688
8020,0
30435,50000
41340,0
12006,50
39788,50
39338,50000
41925,50000
33379,0
42842,50
20883,50
21866,0
621,0
34612,50000
1323,50
9084,50
14257,50000
11472,50000
25616,0
22077,50000
20569,0
7754,50
39417,50
13046,50
16772,50
46244,0
46316,50
41039,50000
2271,0
10735,50000
29084,50
23640,50000
3922,50000
16857,50
35562,0
41244,0
27391,50000
24599,50
16463,50
23048,50
15641,50000
37152,50000
11279,0
1880,0
45856,50
45385,50
5564,50
16339,50000
17088,50000
33331,50
28926,50000
24330,50000
43501,0
32167,50
44906,0
33896,50000
909,50
15866,0
27773,0
2453,0
10703,50
45573,0
957,0
24620,50000
15405,0
14482,50
47273,50000
45151,0
18395,50
42735,50
23796,50
28837,50000
31010,3500
38849,50000
26507,50
7189,50000
7280,50000
34487,50000
28687,0
24674,50
33463,50
12066,50000
17034,50
6287,0
35013,0
43832,50000
29626,0
34849,50000
37959,0
6411,50000
1730,50000
15509,50
19459,50
17400,50000
32632,50
41686,50
6280,50000
48095,50
42574,50000
1474,50
43656,50
27879,0
20726,50000
12305,50000
32324,50000
12495,50000
26701,50000
17791,0
30505,50
39411,0
14247,50000
24958,50
23598,50000
4198,50000
15888,0
16830,50000
48209,50
32819,50000
6906,0
