record_id,workclass
14232,Private
11186,Private
22534,Private
44469,State-gov
36686,Private
39413,Local-gov
45305,Private
16495,Private
8649,Private
38068,Private
2844,Self-emp-inc
38514,Private
1033,Private
42587,Private
17936,Self-emp-inc
47080,Private
17371,Self-emp-not-inc
4248,Private
28487,Private
37983,Self-emp-not-inc
32403,Private
31817,Private
17995,State-gov
47443,Private
15362,Private
9835,Private
47098,Private
3336,Private
1463,Private
34139,Private
45197,Local-gov
32891,Private
31996,Self-emp-not-inc
36980,Self-emp-not-inc
8248,Private
42795,Private
34719,Private
39875,Private
12658,Private
19800,Self-emp-not-inc
33448,Private
13955,Federal-gov
20467,Private
7405,Private
24141,State-gov
22939,State-gov
4820,Private
21547,Self-emp-not-inc
21076,Federal-gov
13814,Private
12691,Private
12520,Private
29295,Local-gov
2472,Private
21143,Private
9567,Private
33580,Private
34040,Local-gov
35146,State-gov
38742,Private
13674,Federal-gov
20821,Private
30767,Self-emp-inc
5268,State-gov
18349,Private
16392,Private
18892,Private
4281,Federal-gov
8258,Private
27054,Private
24552,Local-gov
28128,Private
47090,Private
43544,Local-gov
9862,State-gov
3742,Private
25189,Private
4126,Self-emp-not-inc
37067,Private
35262,Self-emp-not-inc
9877,Private
39989,Private
18809,Self-emp-inc
30435,Private
41340,Private
39788,Private
39338,Private
33379,Private
20883,Private
621,Private
9084,Private
22077,Private
7754,Private
13046,Private
16772,Private
24599,Private
11279,Private
32167,Private
33896,Private
909,Private
27773,Private
45573,Private
957,Local-gov
14482,Private
28837,Private
38849,Private
26507,Private
7189,Private
34487,Private
17034,Private
6287,Private
37959,Private
6411,Self-emp-not-inc
15509,Private
17400,Private
41686,State-gov
6280,Private
1474,Private
27879,Private
32324,State-gov
30505,Private
4198,Private
15888,Private
6514,Private
44408,Private
26842,Private
18711,Local-gov
39587,Local-gov
31045,Private
14977,Private
24881,Private
11457,Federal-gov
16902,Private
38253,Private
4091,Private
37231,Private
10435,Private
11348,Private
31654,Local-gov
33768,Private
33601,State-gov
14539,Local-gov
33619,Private
20498,Private
699,Private
39518,Private
7484,Private
18556,State-gov
22621,Private
22320,Local-gov
5349,Private
46843,Private
21527,Private
23621,Private
2559,Private
41898,Private
30262,Private
11717,Private
10668,State-gov
38393,Private
45015,Private
15670,Private
48076,State-gov
44173,Private
140,Self-emp-inc
24216,State-gov
39370,Private
15486,Private
36478,Local-gov
37394,Private
1375,Private
6711,Private
30197,Private
18856,Private
24909,Private
1768,Private
41347,Local-gov
42556,Self-emp-not-inc
17874,Local-gov
21174,Local-gov
13635,Private
29533,Private
3553,Private
8037,Private
1413,Private
14556,Private
9395,Private
23201,Private
4218,Private
6814,Private
39134,Local-gov
5489,Private
7566,Private
48831,Private
34449,Private
40960,Private
22966,Private
41643,Private
15855,Private
39870,Private
48067,Private
4868,Private
22732,Private
48834,Private
32875,Private
27594,Private
45711,State-gov
11633,Private
19524,Private
45912,Self-emp-not-inc
24236,Private
40939,Private
12696,Self-emp-not-inc
32228,Private
25633,Self-emp-inc
6144,Private
17606,Private
12954,Private
25205,Private
40834,Private
28594,Self-emp-inc
42358,Private
39907,Local-gov
30909,Private
28011,Private
39500,Private
41152,Private
25413,Private
19981,Private
34423,Private
36423,Private
23762,Private
2785,Private
2742,Private
26047,State-gov
47746,Private
11341,State-gov
11896,Local-gov
44265,Private
18169,State-gov
16406,Self-emp-not-inc
32330,Private
41026,State-gov
12005,Local-gov
41495,Local-gov
880,Private
41067,Private
23455,Private
21037,Private
48358,Private
22912,Local-gov
20073,Without-pay
34929,Private
36137,Private
45450,Local-gov
16757,Federal-gov
1272,Private
38232,Private
40077,Federal-gov
39524,Private
44418,Private
19699,Private
8768,Federal-gov
9692,Private
32434,Private
3466,Private
1084,Private
45588,State-gov
7088,Self-emp-inc
43239,Private
20713,State-gov
32402,Private
11239,Self-emp-not-inc
19920,Local-gov
39939,Private
25014,Private
30380,Private
7658,Private
20123,Private
29954,Private
3408,Private
43820,Private
26473,Self-emp-not-inc
29796,Private
8815,Private
3234,Private
11641,Private
44492,Private
21945,Private
47648,Private
29178,Private
17751,Private
21865,Private
38744,Private
13213,Private
19897,Private
13877,Private
11380,Self-emp-not-inc
47306,Private
34904,Private
8047,Private
5559,Private
18050,Private
2400,State-gov
8701,Local-gov
22070,Local-gov
22057,Private
46501,Private
29691,Private
29844,Private
31865,Private
15818,Private
45910,Private
4139,Private
4448,Federal-gov
14968,Private
31095,Private
8629,Private
18081,Private
39381,Private
37658,Federal-gov
40862,Self-emp-not-inc
27664,Private
20780,Private
37400,State-gov
41043,Private
4123,Private
44107,Private
18399,Self-emp-inc
39813,Private
42125,Self-emp-inc
48804,Private
25892,Private
6430,State-gov
37628,Private
10369,Private
12281,Private
11487,State-gov
3419,Private
46048,Private
71,Private
7841,Private
38599,Private
23360,Private
36962,Private
18885,Federal-gov
723,Local-gov
1444,Self-emp-not-inc
38468,Private
11957,Private
32780,Private
45387,Private
6467,Private
44834,Local-gov
6436,Private
12465,Private
42361,Private
19017,Self-emp-not-inc
9887,Private
26200,Private
8589,Private
45432,Private
27820,Private
30837,Private
10661,Private
44199,Private
36958,Local-gov
11890,Self-emp-inc
45005,Private
35194,Private
23021,Private
36834,Private
47688,Federal-gov
46392,Private
14179,Local-gov
7735,Self-emp-not-inc
41248,Self-emp-not-inc
849,Private
31017,Federal-gov
20211,Private
26601,State-gov
3369,Private
22822,Private
6784,Private
14898,Private
2012,Private
16940,Private
3664,Self-emp-not-inc
37951,Self-emp-inc
20165,Private
31255,Private
20890,Self-emp-not-inc
41117,Self-emp-not-inc
7884,Private
25809,Private
47517,Private
45742,Self-emp-not-inc
12693,State-gov
45622,Private
1572,Private
3668,Private
75,Private
7231,Private
20637,Private
17084,Private
20841,Private
47348,Local-gov
32765,Private
9341,Private
2159,Self-emp-not-inc
41635,Private
4202,Private
46462,Local-gov
24268,Private
133,Private
13550,Private
20931,Private
11741,Private
3322,Private
18239,Private
2914,Private
37435,Private
10849,Private
4042,Private
41076,Local-gov
33950,Self-emp-inc
32287,Local-gov
4472,Private
10550,Private
487,Local-gov
12022,Private
17425,Local-gov
46012,Private
36060,Private
24356,Private
34117,State-gov
1087,Private
21387,Self-emp-not-inc
46570,Private
41685,Private
7342,Private
15909,Private
19407,Private
48551,Private
34763,Private
4225,Self-emp-inc
34360,Private
38570,Private
39415,Self-emp-inc
22019,Private
6760,Private
46948,Private
27001,Private
20417,Self-emp-inc
14046,Federal-gov
45279,Private
26961,Private
40143,Private
38248,Local-gov
43992,Private
35679,Private
13179,Private
16571,Private
38958,Private
2369,Private
25335,Self-emp-inc
11498,Private
36422,Self-emp-not-inc
21284,Private
37246,Self-emp-not-inc
22657,Private
21416,Local-gov
33731,Private
16161,Private
13007,Private
41609,Private
10078,Private
16600,Private
44538,Private
11730,Private
272,Self-emp-not-inc
5430,Private
39250,Private
4866,Private
29950,Private
37409,Self-emp-inc
34827,Private
219,Private
47465,Private
39385,Private
41119,Private
19142,Private
29368,Federal-gov
22631,Self-emp-not-inc
16916,Private
45310,Private
28115,State-gov
26059,Private
44294,Private
43800,Private
1028,Private
34859,Private
35550,Self-emp-inc
5739,Private
38443,Private
35072,Private
14310,Private
36102,Self-emp-not-inc
21396,Self-emp-not-inc
36325,Private
31705,Self-emp-not-inc
33788,Self-emp-not-inc
40107,Private
7540,Self-emp-not-inc
29142,Private
19758,Self-emp-not-inc
34459,Private
26065,Private
21727,Private
47757,Private
44292,Private
48152,Private
6741,Private
8631,Private
42049,Local-gov
22813,Federal-gov
16383,Private
32122,Private
23335,Private
47734,State-gov
47586,Private
24411,Private
40815,Self-emp-inc
30009,Self-emp-not-inc
17475,Private
31456,Private
5839,Private
37243,Private
3233,Private
26088,Private
21717,Private
5350,Private
27131,Private
38645,Private
2135,Private
26303,Private
11449,Private
24097,Private
21953,Private
35997,Private
15570,Private
1771,Private
6926,Private
39456,Private
15764,Private
31298,Federal-gov
43134,Private
26177,Private
41305,Private
30085,Private
3445,Private
6378,Self-emp-inc
11226,Local-gov
17729,Private
26974,Private
14858,Federal-gov
39990,Private
40462,Private
7627,Private
8862,Private
47121,Private
32563,Local-gov
32863,Local-gov
2838,Private
5222,Federal-gov
35009,Self-emp-not-inc
22564,Private
4154,Private
14290,Private
15098,Self-emp-not-inc
45648,Local-gov
