record_id,capital-loss
14232,50
11186,50
22534,50
26943,2178
47375,0
4501,50
19030,0
18639,50
44469,2178
5871,0
30699,0
5408,2178
44628,2178
36591,50
3715,50
42759,2178
36686,0
1952,0
24576,50
39413,50
7878,2178
34563,1500
45305,0
47265,0
22468,2178
30265,0
16495,0
23408,0
8649,50
24059,2178
21991,0
38068,50
37962,0
23963,2178
2844,50
38514,0
1033,0
551,2178
9742,50
26253,2178
46680,50
42875,50
16589,50
47353,0
42587,0
17936,50
47080,2178
36501,2178
17371,0
4248,0
27544,2178
28487,2178
37983,1902
32403,2178
22479,50
6873,0
31817,50
8366,50
27006,0
17995,2178
3614,2178
47443,50
24774,2178
24839,2178
15362,0
32646,2178
1147,50
9835,2178
47386,2178
27417,0
7822,0
25062,0
47098,0
3336,2178
30997,50
25117,50
22611,50
35661,50
17137,2178
34693,2178
21655,50
30347,0
11843,0
14787,0
25557,2178
41865,50
41546,50
13251,50
11679,0
1463,50
33334,50
15330,1672
34139,0
8887,0
7192,2178
18822,50
45197,2178
46027,50
2993,50
32891,0
46125,50
674,0
31996,2178
36980,2178
10160,0
42753,2178
8248,0
44551,0
36345,0
4948,0
9994,50
42795,0
33220,2178
16546,0
34719,2178
46484,0
40025,2178
47198,50
10534,0
39875,2178
12658,50
45324,2178
43970,0
19800,0
45101,50
38965,2178
14382,50
32288,0
31808,50
2481,0
1587,50
38038,50
45740,0
29464,50
35345,50
33448,50
13955,2178
44555,50
14464,0
24245,50
23349,0
25316,0
9328,2178
31760,2178
20467,0
7405,0
32610,50
34470,2178
34011,50
24914,0
35450,0
16132,2178
24141,0
12633,50
25030,2178
11756,0
22939,0
43109,2178
18893,2178
20512,1500
25143,0
1856,50
9441,2178
35133,0
17307,0
23497,50
4820,2178
9372,2178
20672,2178
21547,50
11789,2178
13520,0
17495,2178
1658,2178
24471,2178
21076,50
20543,2178
10426,2178
17848,50
47066,2178
13814,0
47999,0
11308,2178
25016,0
12691,2178
12520,2178
29295,2178
2472,2178
21143,0
1281,0
37504,50
21138,50
25312,2178
30871,50
9567,2178
41711,50
20487,2178
705,0
23424,0
30245,50
24148,50
31733,2178
22038,0
33580,50
11312,2178
36366,0
34040,50
35146,50
38742,50
13674,2178
27604,50
20821,2178
30767,0
10516,50
16086,0
5268,50
18349,2178
9090,2178
16392,2178
11900,50
18892,2178
4349,2178
40162,2178
4281,0
8258,2178
37474,0
36797,2178
27054,50
24552,50
28128,50
47396,0
26128,0
41575,0
47090,2178
26062,0
42281,2178
2824,0
33825,2178
26727,2178
13036,50
31004,2178
25812,0
24637,0
43544,50
15857,50
14745,0
9862,50
40760,2178
7747,2178
16744,50
3742,50
25189,50
4126,0
37067,0
35262,0
9877,2178
41154,0
24831,2178
12552,0
39989,2178
44964,2178
28700,2178
36491,0
38523,50
18809,2178
8020,0
30435,50
41340,0
12006,50
39788,50
39338,50
41925,2178
33379,50
42842,50
20883,50
21866,50
621,0
34612,2178
1323,2178
9084,0
14257,50
11472,50
25616,2178
22077,50
20569,50
7754,2178
39417,2178
13046,0
16772,50
46244,0
46316,2178
41039,0
2271,50
10735,50
29084,1740
23640,0
3922,2178
16857,2178
35562,50
41244,50
27391,2178
24599,2178
16463,2178
23048,50
15641,50
37152,2178
11279,2178
1880,2178
45856,50
45385,2178
5564,50
16339,50
17088,50
33331,0
28926,50
24330,50
43501,2178
32167,50
44906,0
33896,50
909,2178
15866,50
27773,2178
2453,0
10703,0
45573,2178
957,0
24620,50
15405,0
14482,50
47273,50
45151,2178
18395,0
42735,50
23796,2178
28837,50
31010,50
38849,50
26507,0
7189,0
7280,50
34487,0
28687,50
24674,2178
33463,2178
12066,0
17034,50
6287,50
35013,2178
43832,0
29626,2178
34849,2178
37959,50
6411,0
1730,50
15509,50
19459,1500
17400,2178
32632,2178
41686,2178
6280,0
48095,50
42574,0
1474,2178
43656,50
27879,50
20726,0
12305,0
32324,0
12495,2178
26701,2178
17791,50
30505,0
39411,0
14247,0
24958,0
23598,50
4198,50
