record_id,hours-per-week
14232,50
11186,40
22534,50
26943,50
47375,45
4501,45
19030,40
18639,45
44469,50
5871,50
30699,45
5408,50
44628,40
36591,45
3715,20
42759,40
36686,35
1952,50
24576,95
39413,55
7878,36
34563,35
45305,50
47265,50
22468,80
30265,45
16495,45
23408,15
8649,65
24059,35
21991,50
38068,45
37962,40
23963,45
2844,80
38514,35
1033,45
551,50
9742,50
26253,45
46680,45
42875,45
16589,45
47353,50
42587,50
17936,50
47080,45
36501,60
17371,75
4248,40
27544,50
28487,66
37983,50
32403,40
22479,50
6873,15
31817,30
8366,45
27006,50
17995,50
3614,40
47443,50
24774,50
24839,40
15362,35
32646,45
1147,50
9835,45
47386,50
27417,45
7822,40
25062,50
47098,45
3336,45
30997,40
25117,45
22611,45
35661,45
17137,55
34693,45
21655,15
30347,45
11843,40
14787,45
25557,45
41865,45
41546,55
13251,50
11679,50
1463,50
33334,5
15330,45
34139,40
8887,25
7192,50
18822,50
45197,45
46027,40
2993,45
32891,50
46125,50
674,55
31996,50
36980,50
10160,25
42753,35
8248,20
44551,45
36345,50
4948,45
9994,75
42795,50
33220,50
16546,45
34719,50
46484,50
40025,45
47198,40
10534,50
39875,45
12658,35
45324,45
43970,40
19800,45
45101,45
38965,50
14382,30
32288,15
31808,45
2481,55
1587,45
38038,45
45740,50
29464,45
35345,80
33448,45
13955,40
44555,35
14464,40
24245,50
23349,50
25316,50
9328,12
31760,40
20467,50
7405,50
32610,50
34470,40
34011,45
24914,45
35450,50
16132,45
24141,45
12633,45
25030,50
11756,45
22939,40
43109,50
18893,45
20512,45
25143,50
1856,60
9441,45
35133,50
17307,50
23497,40
4820,40
9372,45
20672,25
21547,65
11789,45
13520,45
17495,25
1658,15
24471,45
21076,45
20543,50
10426,40
17848,50
47066,40
13814,45
47999,45
11308,35
25016,45
12691,45
12520,80
29295,45
2472,40
21143,65
1281,50
37504,50
21138,45
25312,45
30871,15
9567,45
41711,40
20487,50
705,50
23424,39
30245,50
24148,45
31733,50
22038,50
33580,45
11312,50
36366,65
34040,15
35146,45
38742,25
13674,45
27604,40
20821,35
30767,25
10516,50
16086,40
5268,15
18349,35
9090,45
16392,45
11900,55
18892,45
4349,65
40162,50
4281,35
8258,50
37474,5
36797,32
27054,50
24552,24
28128,45
47396,45
26128,50
41575,45
47090,35
26062,45
42281,45
2824,50
33825,45
26727,40
13036,45
31004,50
25812,45
24637,15
43544,35
15857,40
14745,45
9862,50
40760,45
7747,50
16744,80
3742,50
25189,35
4126,45
37067,45
35262,55
9877,45
41154,32
24831,20
12552,45
39989,45
44964,45
28700,45
36491,50
38523,45
18809,40
8020,45
30435,50
41340,55
12006,45
39788,45
39338,45
41925,45
33379,25
42842,45
20883,45
21866,80
621,15
34612,45
1323,15
9084,45
14257,35
11472,45
25616,40
22077,25
20569,40
7754,15
39417,50
13046,50
16772,50
46244,40
46316,45
41039,40
2271,45
10735,40
29084,45
23640,45
3922,40
16857,40
35562,55
41244,45
27391,50
24599,45
16463,50
23048,20
15641,45
37152,65
11279,45
1880,50
45856,15
45385,35
5564,50
16339,50
17088,45
33331,50
28926,45
24330,50
43501,15
32167,45
44906,35
33896,50
909,45
15866,25
27773,50
2453,45
10703,50
45573,45
957,40
24620,50
15405,45
14482,45
47273,40
45151,40
18395,45
42735,45
23796,50
28837,40
31010,45
38849,40
26507,15
7189,45
7280,50
34487,45
28687,45
24674,50
33463,50
12066,80
17034,40
6287,45
35013,45
43832,43
29626,55
34849,45
37959,45
6411,80
1730,90
15509,45
19459,45
17400,45
32632,45
41686,45
6280,45
48095,35
42574,45
1474,50
43656,50
27879,45
20726,50
12305,40
32324,50
12495,45
26701,45
17791,15
30505,50
39411,15
14247,55
24958,45
23598,45
4198,45
15888,45
16830,48
48209,50
32819,45
6906,45
33138,50
48474,25
34532,80
6594,38
48648,50
5617,40
48033,25
3995,50
47687,45
45703,50
9390,40
6514,45
25462,45
37675,55
3278,45
36948,24
1351,50
44408,50
26842,50
42592,45
7330,45
48246,45
18711,45
16584,50
39587,45
31045,60
14977,50
25687,50
24881,50
47871,50
31121,45
7478,45
11457,45
23909,35
16902,45
13412,55
9965,45
2395,45
38253,55
46537,45
35956,40
4091,50
37231,50
12487,50
10435,50
11348,50
31654,45
29020,40
9168,50
33768,8
33601,45
39593,50
26875,45
37876,45
