record_id,marital-status
19030,Never-married
18639,Married-civ-spouse
44469,Never-married
30699,Divorced
5408,Married-civ-spouse
44628,Separated
24576,Married-civ-spouse
39413,Divorced
7878,Married-civ-spouse
34563,Widowed
23408,Never-married
24059,Never-married
38068,Divorced
2844,Married-civ-spouse
38514,Never-married
9742,Married-civ-spouse
26253,Married-civ-spouse
46680,Married-civ-spouse
36501,Divorced
37983,Married-civ-spouse
22479,Never-married
31817,Married-spouse-absent
8366,Married-civ-spouse
27006,Divorced
24839,Married-civ-spouse
15362,Widowed
1147,Married-civ-spouse
9835,Never-married
25062,Married-civ-spouse
3336,Married-civ-spouse
30997,Married-civ-spouse
34693,Married-civ-spouse
21655,Never-married
41546,Married-civ-spouse
13251,Married-civ-spouse
34139,Married-civ-spouse
46027,Widowed
2993,Married-civ-spouse
32891,Never-married
46125,Never-married
31996,Married-civ-spouse
10160,Divorced
44551,Never-married
36345,Married-civ-spouse
9994,Married-civ-spouse
42795,Married-civ-spouse
33220,Divorced
45324,Widowed
45101,Married-civ-spouse
38965,Never-married
14382,Never-married
2481,Married-civ-spouse
29464,Married-civ-spouse
13955,Married-civ-spouse
14464,Married-civ-spouse
23349,Never-married
25316,Divorced
31760,Never-married
34470,Married-civ-spouse
24141,Married-civ-spouse
22939,Married-civ-spouse
25143,Married-civ-spouse
9441,Widowed
23497,Married-civ-spouse
4820,Married-civ-spouse
11789,Married-civ-spouse
13520,Never-married
13814,Married-civ-spouse
1281,Divorced
9567,Married-civ-spouse
10516,Never-married
16086,Married-civ-spouse
5268,Never-married
11900,Divorced
47396,Married-civ-spouse
26128,Married-civ-spouse
41575,Never-married
42281,Married-civ-spouse
25812,Married-spouse-absent
9862,Widowed
3742,Divorced
37067,Never-married
38523,Married-civ-spouse
41340,Divorced
12006,Married-civ-spouse
34612,Never-married
1323,Married-civ-spouse
11472,Married-civ-spouse
25616,Divorced
20569,Married-civ-spouse
7754,Never-married
13046,Married-civ-spouse
29084,Married-civ-spouse
23048,Never-married
11279,Divorced
5564,Married-civ-spouse
43501,Never-married
32167,Never-married
15405,Married-civ-spouse
14482,Separated
47273,Married-civ-spouse
28837,Married-civ-spouse
26507,Never-married
7189,Married-civ-spouse
7280,Married-civ-spouse
34487,Never-married
28687,Married-civ-spouse
33463,Never-married
37959,Never-married
6280,Divorced
1474,Never-married
27879,Never-married
32324,Divorced
12495,Divorced
26701,Married-civ-spouse
23598,Married-civ-spouse
6906,Married-civ-spouse
33138,Married-civ-spouse
48648,Married-civ-spouse
3995,Never-married
25462,Married-civ-spouse
42592,Never-married
7330,Married-civ-spouse
25687,Widowed
31121,Never-married
23909,Never-married
9965,Married-civ-spouse
46537,Married-civ-spouse
37231,Married-civ-spouse
12487,Married-civ-spouse
33601,Married-civ-spouse
39593,Divorced
37876,Married-civ-spouse
25957,Divorced
1602,Never-married
20498,Never-married
699,Never-married
25752,Divorced
43359,Married-civ-spouse
23621,Married-civ-spouse
35983,Married-civ-spouse
10006,Never-married
41898,Married-civ-spouse
34527,Never-married
36109,Divorced
42755,Married-civ-spouse
22347,Never-married
30262,Never-married
6269,Married-civ-spouse
5570,Married-civ-spouse
1924,Never-married
15670,Married-civ-spouse
33432,Never-married
47208,Married-civ-spouse
15679,Married-civ-spouse
12192,Divorced
12527,Separated
39370,Married-civ-spouse
12053,Divorced
44164,Married-civ-spouse
37394,Married-civ-spouse
46047,Never-married
1375,Divorced
31205,Married-civ-spouse
32396,Divorced
273,Never-married
38506,Never-married
40699,Never-married
46336,Married-civ-spouse
40163,Never-married
1768,Married-civ-spouse
12319,Married-civ-spouse
4975,Married-civ-spouse
24974,Widowed
6941,Married-civ-spouse
29508,Never-married
41347,Never-married
17874,Never-married
15240,Married-civ-spouse
382,Married-civ-spouse
13635,Never-married
8218,Divorced
29533,Never-married
3553,Divorced
22825,Never-married
9395,Never-married
39134,Never-married
21326,Never-married
5489,Divorced
28040,Divorced
22966,Married-civ-spouse
39283,Divorced
10664,Divorced
22732,Married-civ-spouse
1232,Never-married
18963,Divorced
33811,Married-civ-spouse
25129,Married-civ-spouse
1359,Never-married
44808,Married-civ-spouse
31750,Married-civ-spouse
3426,Divorced
27594,Married-civ-spouse
45711,Married-civ-spouse
11633,Never-married
25036,Widowed
39716,Divorced
7794,Never-married
46439,Divorced
25633,Married-civ-spouse
10188,Married-civ-spouse
12954,Separated
30216,Married-civ-spouse
42358,Never-married
30909,Divorced
39963,Divorced
26382,Married-civ-spouse
28011,Married-civ-spouse
36341,Married-civ-spouse
41152,Married-civ-spouse
28866,Married-civ-spouse
25413,Married-civ-spouse
15060,Divorced
19981,Never-married
42213,Married-civ-spouse
20387,Married-civ-spouse
34423,Married-civ-spouse
15511,Never-married
46905,Married-civ-spouse
23762,Never-married
22104,Never-married
47100,Married-civ-spouse
2785,Widowed
18710,Married-civ-spouse
11896,Married-civ-spouse
21702,Never-married
45271,Married-civ-spouse
34631,Divorced
13954,Married-civ-spouse
18169,Married-civ-spouse
4260,Divorced
32330,Married-civ-spouse
29887,Never-married
18889,Never-married
41026,Divorced
23989,Married-civ-spouse
28036,Divorced
10748,Married-civ-spouse
18587,Never-married
48108,Never-married
41495,Married-civ-spouse
1638,Married-civ-spouse
21156,Married-civ-spouse
5092,Divorced
41451,Never-married
34111,Never-married
24531,Separated
10214,Never-married
20073,Married-civ-spouse
34929,Married-civ-spouse
41180,Divorced
22663,Married-civ-spouse
32908,Married-civ-spouse
1322,Never-married
15208,Never-married
73,Never-married
40077,Married-civ-spouse
43939,Divorced
30095,Divorced
26401,Married-civ-spouse
9692,Married-civ-spouse
32434,Never-married
43124,Married-spouse-absent
18962,Married-civ-spouse
3466,Married-civ-spouse
20713,Married-civ-spouse
11745,Never-married
3795,Married-civ-spouse
7609,Divorced
31815,Married-civ-spouse
4723,Married-civ-spouse
37210,Married-civ-spouse
250,Married-civ-spouse
5892,Never-married
