record_id,race
14232,White
11186,White
22534,White
26943,White
4501,Black
19030,White
44469,White
5871,White
30699,White
44628,White
36591,White
42759,White
39413,White
34563,Black
45305,Other
30265,White
16495,White
23408,White
8649,Black
38068,White
37962,White
23963,White
2844,White
38514,Black
1033,Black
9742,White
26253,White
46680,White
42875,White
47353,White
17936,White
47080,White
17371,White
4248,Black
27544,White
32403,White
22479,White
8366,White
27006,Black
47443,White
32646,White
9835,Black
47386,White
7822,White
25062,White
17137,White
34693,White
30347,Asian-Pac-Islander
11843,White
14787,Black
41865,White
41546,White
13251,White
11679,White
15330,White
34139,Black
2993,Amer-Indian-Eskimo
674,White
31996,White
10160,White
8248,White
44551,White
4948,Amer-Indian-Eskimo
42795,White
33220,White
46484,Black
40025,White
47198,White
10534,Asian-Pac-Islander
39875,White
12658,White
19800,White
45101,White
32288,Black
2481,White
38038,White
29464,White
33448,White
13955,White
24245,White
31760,White
20467,White
7405,White
32610,White
34470,White
24914,Black
35450,White
12633,White
11756,Asian-Pac-Islander
22939,White
43109,White
20512,White
1856,White
9441,Asian-Pac-Islander
35133,White
4820,White
20672,White
21547,White
11789,White
13520,Black
17495,White
20543,Asian-Pac-Islander
10426,White
17848,White
47066,White
13814,White
25016,Amer-Indian-Eskimo
29295,White
2472,White
21143,White
1281,Asian-Pac-Islander
21138,White
25312,White
41711,Amer-Indian-Eskimo
20487,White
705,White
30245,White
24148,White
31733,White
11312,White
38742,White
13674,White
27604,White
10516,White
18349,White
9090,White
11900,White
18892,White
4349,White
4281,White
8258,White
47090,White
26062,White
2824,Black
33825,White
26727,White
25812,White
24637,Other
43544,White
9862,White
16744,White
3742,White
4126,Black
37067,White
35262,White
9877,White
41154,White
24831,White
39989,White
28700,White
38523,White
8020,White
41340,White
12006,White
39788,White
39338,White
33379,White
42842,White
21866,Black
621,Black
34612,White
1323,White
14257,White
25616,Black
22077,Black
46316,Amer-Indian-Eskimo
41039,White
10735,White
3922,White
16857,White
35562,White
41244,White
27391,White
37152,White
1880,White
33331,White
32167,White
33896,White
909,White
15866,White
2453,White
45573,White
24620,White
15405,White
14482,White
47273,White
23796,White
26507,White
7280,White
12066,White
17034,White
6287,White
35013,White
34849,White
37959,White
6411,White
19459,White
17400,White
41686,White
1474,White
43656,Asian-Pac-Islander
12305,White
12495,White
26701,White
17791,White
39411,White
23598,White
6906,White
33138,White
6594,Black
48033,White
3995,White
1351,White
48246,White
16584,Black
39587,White
31045,White
14977,White
25687,White
47871,White
31121,White
7478,White
11457,White
23909,White
9965,Amer-Indian-Eskimo
35956,White
12487,White
33601,White
39593,White
26875,White
37876,White
1871,Black
25957,White
1602,White
15957,White
33619,Black
18845,Black
44499,Black
27121,Black
4620,White
14788,White
36932,White
22320,White
12203,White
21527,Black
10006,White
36109,White
26013,White
30262,White
6269,Asian-Pac-Islander
5570,White
38393,White
24705,White
17950,White
38146,White
30269,White
45015,White
2814,White
540,White
15670,White
31707,White
140,White
26262,White
12192,White
15008,White
12527,Black
34030,White
15486,White
37394,Asian-Pac-Islander
1375,Black
9986,White
31205,Black
273,White
38506,White
6711,White
40699,White
3734,White
30197,White
46336,White
18856,White
24909,Black
40163,White
1768,White
12319,White
4975,White
24974,Black
6941,White
24898,White
41347,White
44916,White
42556,White
7984,White
17874,White
1096,White
21174,Black
20204,White
382,White
22126,White
13635,White
25217,Black
47785,White
10197,Black
29533,White
32357,White
17175,White
29993,White
8037,White
14732,Amer-Indian-Eskimo
14556,Other
46063,White
23201,White
19091,White
47420,White
39134,White
21326,White
303,White
5489,White
2048,White
7026,White
34449,White
22966,White
15855,White
5398,White
36556,White
10664,White
4868,White
33721,White
40249,White
22732,White
1232,White
12767,Other
30272,Other
22289,Asian-Pac-Islander
32875,White
4813,White
44808,White
46892,White
45884,White
45711,White
19524,White
18189,Amer-Indian-Eskimo
25797,White
28725,White
33596,White
27359,Black
24236,White
40939,White
21353,White
32263,Other
46074,White
36064,White
1480,White
25633,White
6144,White
17606,White
24214,Black
15329,White
25205,Black
35939,White
30216,White
39907,White
30909,White
39963,White
26382,White
36341,White
41152,Asian-Pac-Islander
28866,White
5674,White
15060,White
42213,White
36423,Black
15511,White
47382,White
36105,White
23762,White
30270,White
22104,White
13195,White
2785,White
24551,White
26047,White
29003,White
45758,White
47746,White
11341,White
25747,White
43108,White
34542,Black
11896,White
21702,White
13954,White
12464,Asian-Pac-Islander
18169,White
4901,White
17891,White
32330,White
18889,Asian-Pac-Islander
23989,White
28036,White
12005,White
48108,Black
41495,White
1775,White
1638,White
23455,Asian-Pac-Islander
9581,Black
21037,White
48358,White
45467,White
13485,White
21495,White
24531,White
9123,Black
10214,White
47304,White
41180,White
36137,Black
16757,White
46741,White
73,White
38232,White
41662,Asian-Pac-Islander
35505,White
35407,White
26401,White
2723,White
46343,Black
32434,White
7268,White
27479,White
20921,White
18962,White
3466,White
33837,White
45588,White
21270,White
7088,White
43239,Amer-Indian-Eskimo
24751,White
10378,Asian-Pac-Islander
20713,White
21909,White
11745,White
32402,White
3795,White
18295,White
44855,Black
19663,White
11239,Black
40227,White
27155,Black
39939,White
25014,White
30380,White
43742,White
20123,White
18029,White
25191,White
26473,White
37442,White
3234,Black
35903,White
44492,White
29926,White
48279,White
13469,White
26254,White
21945,White
26910,Black
420,White
47648,White
41505,White
1431,White
17751,White
31341,White
44169,White
13877,White
11380,White
47306,White
3214,White
4077,White
27352,White
38045,White
8047,White
25885,Black
28429,White
5559,White
18050,White
13159,Asian-Pac-Islander
35177,White
37569,White
24266,White
107,White
18702,White
41443,White
34571,White
31246,Black
36279,White
9719,White
6114,White
26140,White
22070,White
22057,White
47154,White
24435,White
38797,White
29844,White
47807,White
4139,White
35226,White
14968,Black
31095,White
8629,White
263,White
21617,White
48475,White
15435,White
40862,White
10405,White
27664,White
41769,White
6338,White
41043,White
38067,Asian-Pac-Islander
18685,White
39813,Asian-Pac-Islander
8344,White
6644,White
42125,White
35291,White
48804,White
3694,White
22327,Black
40491,White
34524,White
12728,White
48312,Black
14512,White
11289,White
18308,White
10369,White
11487,White
9529,White
8882,White
36495,Black
8539,White
42973,White
71,Black
7841,White
23717,White
33166,White
20331,White
38599,White
24382,White
36962,Asian-Pac-Islander
4252,White
41984,White
11957,White
45387,White
5476,White
32231,Amer-Indian-Eskimo
44834,White
41826,White
2039,White
16965,White
9743,White
12465,White
19129,White
26200,White
45432,White
7558,White
30864,Amer-Indian-Eskimo
28441,White
37853,White
24106,White
36957,White
33130,White
43861,White
35202,White
30837,White
47140,White
36809,White
10661,Asian-Pac-Islander
21567,White
22748,White
11890,White
29390,White
35194,White
23021,Asian-Pac-Islander
25008,White
39354,White
36834,White
41813,Black
18513,Black
8381,White
8503,White
23484,White
21850,White
12117,White
6403,White
47603,White
38648,Black
14141,White
3418,White
41248,Black
849,White
12263,White
32054,White
31017,White
414,White
31286,White
20211,White
43263,Black
44562,White
22822,White
14261,White
13915,White
39611,Black
13804,White
2012,White
16940,White
3664,White
37951,Black
20165,White
9075,White
17305,White
31255,White
20890,White
41117,Black
7884,White
25809,White
47517,Black
4463,White
5108,White
21442,Black
27817,Asian-Pac-Islander
12847,White
21054,White
22887,White
12693,White
16689,White
8410,White
1572,White
21317,White
28941,White
3668,White
75,White
18915,White
43310,White
20637,Black
8124,Other
17084,White
47685,White
10054,White
3905,White
46123,White
32765,White
9341,White
2159,White
18996,White
41635,White
23949,White
18660,White
17090,White
13550,Asian-Pac-Islander
22804,White
20931,White
3564,White
5987,White
11741,White
15011,White
3322,White
2914,White
10849,White
37935,White
41076,White
33950,White
26505,White
10550,White
40390,White
12022,White
17425,White
44493,White
2621,White
5363,White
36060,White
24356,White
34117,Asian-Pac-Islander
10583,White
1087,White
21387,White
41685,White
34303,Other
44838,White
43138,White
22968,White
22458,White
15909,White
48551,White
7700,Other
17440,White
7279,Black
36526,White
34360,White
32550,White
45366,White
28836,White
12494,White
39415,White
9960,White
46948,White
24604,White
27001,White
27888,White
37423,White
45279,White
5239,White
26961,White
4624,White
40143,White
24112,White
38719,White
38248,White
47231,White
26708,White
36912,White
11888,White
13218,White
45857,White
37093,White
2369,White
10913,White
21284,White
28407,White
37246,White
12052,White
11521,Black
11356,White
48427,Asian-Pac-Islander
29002,White
41564,White
42729,White
35662,White
33731,White
23998,White
16161,White
18782,White
7687,White
20764,White
25264,White
10078,White
40338,White
