record_id,relationship
11186,Wife
26943,Husband
47375,Husband
4501,Not-in-family
5871,Husband
7878,Wife
34563,Not-in-family
30265,Unmarried
23408,Own-child
37962,Husband
1033,Not-in-family
551,Unmarried
26253,Husband
16589,Unmarried
47080,Husband
27544,Wife
37983,Husband
22479,Own-child
31817,Unmarried
27006,Unmarried
24839,Husband
32646,Not-in-family
47386,Unmarried
30997,Husband
22611,Not-in-family
34693,Husband
21655,Own-child
13251,Husband
33334,Unmarried
15330,Husband
7192,Unmarried
46125,Own-child
42753,Not-in-family
4948,Not-in-family
42795,Husband
34719,Husband
39875,Husband
38965,Own-child
31808,Unmarried
14464,Husband
23349,Not-in-family
34470,Husband
34011,Unmarried
24914,Unmarried
35450,Husband
16132,Not-in-family
25030,Husband
11756,Husband
18893,Husband
1856,Not-in-family
9441,Not-in-family
17307,Husband
9372,Husband
21547,Husband
17495,Not-in-family
21076,Not-in-family
25016,Unmarried
21143,Not-in-family
37504,Not-in-family
25312,Husband
20487,Not-in-family
22038,Own-child
30767,Not-in-family
5268,Own-child
18892,Husband
36797,Husband
24552,Not-in-family
47396,Husband
26062,Own-child
42281,Husband
2824,Husband
15857,Husband
25189,Not-in-family
37067,Not-in-family
35262,Husband
9877,Not-in-family
24831,Own-child
44964,Wife
18809,Husband
41925,Own-child
34612,Own-child
1323,Husband
22077,Unmarried
39417,Not-in-family
46316,Unmarried
3922,Own-child
16857,Not-in-family
35562,Husband
24599,Husband
23048,Own-child
11279,Unmarried
1880,Unmarried
28926,Husband
24330,Husband
32167,Not-in-family
909,Husband
10703,Husband
14482,Other-relative
47273,Husband
45151,Husband
31010,Own-child
26507,Own-child
7189,Husband
28687,Husband
24674,Not-in-family
12066,Husband
17034,Own-child
6287,Not-in-family
37959,Own-child
19459,Husband
48095,Husband
43656,Other-relative
20726,Own-child
12495,Unmarried
39411,Husband
23598,Husband
16830,Husband
48209,Husband
6906,Husband
48474,Own-child
9390,Husband
1351,Husband
42592,Not-in-family
18711,Husband
16584,Own-child
31045,Not-in-family
47871,Own-child
13412,Husband
46537,Husband
11348,Not-in-family
29020,Not-in-family
33601,Husband
26875,Own-child
37876,Husband
33619,Not-in-family
44499,Own-child
25752,Unmarried
27121,Other-relative
18556,Not-in-family
14788,Own-child
36932,Husband
22621,Husband
24869,Not-in-family
22320,Not-in-family
12203,Not-in-family
10006,Unmarried
41898,Husband
34527,Other-relative
36109,Own-child
42755,Husband
10660,Husband
30262,Not-in-family
30469,Husband
10668,Husband
17950,Husband
15819,Own-child
30269,Husband
45015,Not-in-family
44173,Husband
10376,Husband
12192,Not-in-family
15008,Husband
2635,Husband
15486,Unmarried
1375,Unmarried
9986,Husband
273,Own-child
6711,Other-relative
4311,Husband
40163,Not-in-family
12319,Own-child
24974,Unmarried
41347,Not-in-family
44916,Own-child
4941,Husband
20204,Own-child
382,Husband
47785,Husband
33892,Husband
10197,Husband
8218,Unmarried
29533,Not-in-family
17175,Not-in-family
9395,Own-child
46063,Unmarried
5489,Not-in-family
20252,Husband
28040,Not-in-family
22966,Husband
424,Unmarried
15855,Own-child
5398,Not-in-family
41539,Not-in-family
42550,Not-in-family
4868,Other-relative
18963,Not-in-family
2058,Own-child
33811,Wife
22289,Not-in-family
32875,Wife
44808,Husband
15462,Husband
18189,Wife
19877,Own-child
27359,Unmarried
25036,Unmarried
46074,Own-child
6144,Unmarried
17606,Not-in-family
24214,Own-child
39907,Husband
30909,Not-in-family
39963,Not-in-family
46983,Not-in-family
39500,Husband
5674,Own-child
36611,Not-in-family
19981,Not-in-family
15736,Husband
34423,Husband
21325,Not-in-family
30270,Husband
47100,Husband
2785,Unmarried
24551,Husband
18710,Husband
21577,Husband
43108,Unmarried
34542,Wife
12464,Own-child
1424,Husband
4260,Not-in-family
29887,Not-in-family
18889,Not-in-family
28036,Not-in-family
10748,Husband
12005,Husband
18587,Not-in-family
9581,Unmarried
22912,Own-child
9123,Husband
10214,Not-in-family
34929,Husband
45450,Unmarried
22663,Husband
33492,Husband
1272,Not-in-family
15208,Own-child
38232,Unmarried
28760,Not-in-family
38543,Husband
44418,Not-in-family
19699,Husband
35505,Husband
8768,Husband
35407,Husband
9692,Wife
2723,Own-child
32434,Unmarried
43124,Not-in-family
3466,Husband
1084,Husband
21270,Husband
43239,Husband
24751,Unmarried
11745,Not-in-family
3795,Husband
7609,Own-child
18295,Not-in-family
44855,Wife
31465,Unmarried
19663,Husband
20477,Not-in-family
31815,Husband
4723,Husband
39939,Husband
33197,Husband
7658,Not-in-family
20123,Own-child
25191,Husband
29796,Husband
29164,Not-in-family
44492,Unmarried
29926,Husband
48279,Not-in-family
26254,Husband
21945,Not-in-family
13514,Husband
1431,Not-in-family
17751,Own-child
13213,Not-in-family
19897,Wife
33447,Husband
37196,Unmarried
36533,Not-in-family
47306,Husband
27352,Wife
23066,Not-in-family
25885,Not-in-family
18050,Wife
1307,Own-child
12771,Not-in-family
2783,Not-in-family
18702,Husband
11037,Own-child
31702,Husband
8701,Other-relative
44321,Husband
36279,Husband
6114,Husband
30236,Not-in-family
26140,Not-in-family
26798,Own-child
22070,Unmarried
22057,Husband
6758,Husband
24435,Husband
46885,Husband
38797,Not-in-family
29691,Not-in-family
37614,Own-child
15818,Not-in-family
18490,Own-child
35226,Husband
21617,Other-relative
15435,Husband
37658,Husband
28634,Own-child
18678,Husband
20780,Husband
315,Not-in-family
41043,Not-in-family
18685,Unmarried
18399,Husband
39813,Husband
6644,Unmarried
42125,Husband
44789,Not-in-family
39256,Not-in-family
38066,Not-in-family
14512,Husband
37628,Own-child
9529,Husband
8539,Not-in-family
37077,Own-child
33166,Other-relative
14654,Own-child
36962,Own-child
4252,Not-in-family
1444,Husband
38468,Husband
32780,Not-in-family
45387,Unmarried
5476,Own-child
6436,Other-relative
5909,Unmarried
30668,Not-in-family
16965,Husband
12465,Unmarried
42361,Own-child
9887,Not-in-family
12571,Own-child
35210,Not-in-family
30150,Own-child
19339,Other-relative
5970,Not-in-family
11535,Unmarried
43861,Husband
17658,Not-in-family
25244,Not-in-family
36809,Not-in-family
21567,Unmarried
44199,Own-child
6328,Own-child
36958,Not-in-family
45005,Not-in-family
36834,Not-in-family
4075,Husband
32095,Not-in-family
29859,Husband
8381,Unmarried
46392,Husband
41309,Not-in-family
21850,Husband
9250,Own-child
12117,Not-in-family
6403,Not-in-family
14179,Unmarried
38648,Unmarried
3418,Husband
41248,Not-in-family
849,Own-child
32054,Not-in-family
414,Husband
21955,Not-in-family
20211,Husband
22822,Own-child
13915,Own-child
6784,Not-in-family
48665,Not-in-family
29430,Not-in-family
46969,Not-in-family
16940,Not-in-family
3664,Husband
9075,Husband
20920,Not-in-family
20890,Husband
30227,Other-relative
5444,Husband
47517,Not-in-family
4463,Unmarried
5108,Husband
27817,Not-in-family
12847,Own-child
1043,Husband
12693,Husband
42803,Unmarried
21317,Not-in-family
42991,Not-in-family
28941,Not-in-family
26366,Husband
10701,Not-in-family
11175,Own-child
43310,Unmarried
7231,Own-child
20841,Not-in-family
32566,Not-in-family
47685,Own-child
46123,Husband
9341,Own-child
32791,Own-child
46462,Not-in-family
133,Husband
22046,Husband
3564,Husband
16020,Unmarried
5987,Unmarried
4042,Wife
33950,Husband
32287,Husband
47519,Husband
10550,Husband
36704,Husband
23701,Husband
487,Husband
12022,Husband
2874,Wife
10583,Husband
1087,Not-in-family
13998,Husband
46570,Other-relative
41685,Other-relative
45710,Husband
22968,Husband
7342,Husband
24615,Unmarried
22458,Wife
15909,Husband
29897,Own-child
34360,Not-in-family
13172,Not-in-family
12494,Husband
15738,Husband
39415,Husband
24604,Own-child
27001,Not-in-family
12987,Not-in-family
20417,Unmarried
14046,Unmarried
45279,Unmarried
47801,Husband
26961,Not-in-family
40143,Husband
31809,Husband
26708,Not-in-family
43992,Not-in-family
42157,Husband
36912,Own-child
685,Not-in-family
2369,Husband
21284,Own-child
24732,Husband
40800,Husband
28407,Unmarried
37246,Not-in-family
11521,Husband
2945,Own-child
29002,Husband
42729,Not-in-family
21416,Husband
41609,Unmarried
47067,Not-in-family
16600,Not-in-family
11067,Unmarried
44538,Husband
30620,Unmarried
36878,Own-child
43741,Husband
44836,Not-in-family
21525,Own-child
4866,Own-child
37409,Husband
26757,Husband
39385,Own-child
27890,Husband
46003,Husband
37581,Not-in-family
19142,Husband
440,Not-in-family
43977,Husband
45222,Not-in-family
48517,Husband
35999,Own-child
28115,Husband
3293,Husband
26059,Husband
44294,Own-child
18243,Unmarried
34859,Husband
33848,Own-child
31596,Husband
5739,Own-child
35072,Husband
14310,Unmarried
28447,Not-in-family
36646,Husband
27260,Not-in-family
36325,Not-in-family
3718,Own-child
31705,Husband
33788,Husband
40107,Own-child
17018,Husband
2205,Wife
46691,Unmarried
38016,Not-in-family
36046,Unmarried
21727,Not-in-family
26402,Not-in-family
19762,Unmarried
47757,Unmarried
44292,Husband
6741,Own-child
8631,Not-in-family
3296,Husband
4582,Not-in-family
10060,Husband
33994,Not-in-family
6967,Not-in-family
47764,Own-child
9818,Husband
39278,Not-in-family
40815,Husband
14334,Not-in-family
30009,Not-in-family
44053,Husband
37078,Husband
8424,Unmarried
22768,Not-in-family
3233,Not-in-family
21717,Not-in-family
32821,Wife
34369,Husband
5350,Own-child
31969,Other-relative
27131,Own-child
37949,Own-child
2135,Not-in-family
26303,Husband
11449,Unmarried
6262,Own-child
26136,Unmarried
23010,Husband
18341,Husband
47570,Husband
27151,Husband
6926,Own-child
36447,Not-in-family
42830,Not-in-family
37090,Husband
26177,Not-in-family
30085,Own-child
1287,Husband
11226,Not-in-family
29893,Own-child
13929,Husband
38036,Husband
34661,Husband
14858,Own-child
627,Husband
39990,Own-child
39216,Unmarried
45290,Husband
37977,Own-child
7627,Own-child
8862,Husband
47121,Not-in-family
32863,Unmarried
2838,Not-in-family
36024,Own-child
26434,Own-child
34784,Husband
35009,Husband
22564,Wife
1721,Husband
4154,Husband
43827,Own-child
13030,Unmarried
45648,Own-child
25912,Not-in-family
34780,Not-in-family
39758,Not-in-family
23169,Not-in-family
6530,Husband
37530,Not-in-family
29938,Not-in-family
42401,Not-in-family
24866,Husband
