Features;Accuracy;F1 Score 0;F1 Score 1
('age',);0.7562189054726368;0.8611898016997167;0.0
('workclass',);0.7584300718629077;0.859602904324359;0.13533834586466165
('fnlwgt',);0.7562189054726368;0.8611898016997167;0.0
('education',);0.775787728026534;0.8657487091222031;0.3203753351206434
('education-num',);0.775787728026534;0.8657487091222031;0.3203753351206434
('marital-status',);0.7562189054726368;0.8611898016997167;0.0
('occupation',);0.7562189054726368;0.8611898016997167;0.0
('relationship',);0.7562189054726368;0.8611898016997167;0.0
('race',);0.7562189054726368;0.8611898016997167;0.0
('sex',);0.7562189054726368;0.8611898016997167;0.0
('capital-gain',);0.8068546158098396;0.8866982294571633;0.34593785099213775
('capital-loss',);0.7773355444997236;0.8715233477928043;0.16570008285004142
('hours-per-week',);0.7558872305140962;0.8609746883264072;0.0
('native-country',);0.7562189054726368;0.8611898016997167;0.0
('age', 'workclass');0.760530679933665;0.8607969151670951;0.14387351778656127
('age', 'fnlwgt');0.7563294637921504;0.861156608290286;0.005415162454873646
('age', 'education');0.7889441680486456;0.8679349705984089;0.474828060522696
('age', 'education-num');0.7894969596462134;0.8682899833978971;0.4760594386351128
('age', 'marital-status');0.7785516860143726;0.8547392849372688;0.5342943501511277
('age', 'occupation');0.7793255942509674;0.861542730299667;0.45672291780076213
('age', 'relationship');0.7800995024875622;0.8572248941210251;0.5217600384707862
('age', 'race');0.7557766721945827;0.8608503937007874;0.002708803611738149
('age', 'sex');0.7584300718629077;0.8613666645517416;0.061829111206526406
('age', 'capital-gain');0.8067440574903262;0.8866407263294422;0.3453183520599251
('age', 'capital-loss');0.7773355444997236;0.8715233477928043;0.16570008285004142
('age', 'hours-per-week');0.7653952459922609;0.8586087420042644;0.31148604802076574
('age', 'native-country');0.7567716970702045;0.8609179415855355;0.03169014084507042
('workclass', 'fnlwgt');0.7573244886677722;0.8594120284378403;0.11384739604360113
('workclass', 'education');0.7754560530679934;0.8645187112267361;0.34462729912875123
('workclass', 'education-num');0.7754560530679934;0.8645187112267361;0.34462729912875123
('workclass', 'marital-status');0.77191818684356;0.8628962583903769;0.32205060795267826
('workclass', 'occupation');0.7624101713653952;0.8608250760961078;0.1887504718761797
('workclass', 'relationship');0.7715865118850194;0.865108383389919;0.25522710886806055
('workclass', 'race');0.7594250967385295;0.8601002957438602;0.14195583596214512
('workclass', 'sex');0.7609729132117192;0.8614635396642317;0.12962962962962962
('workclass', 'capital-gain');0.8069651741293532;0.8867704280155642;0.34606741573033706
('workclass', 'capital-loss');0.7778883360972914;0.869367319071461;0.25894503873109553
('workclass', 'hours-per-week');0.7609729132117192;0.860516129032258;0.16525096525096525
('workclass', 'native-country');0.7586511885019348;0.8595689932454166;0.14223968565815323
('fnlwgt', 'education');0.77191818684356;0.8634769373304215;0.3074857334676066
('fnlwgt', 'education-num');0.7712548369264787;0.863061751274075;0.30593760483059373
('fnlwgt', 'marital-status');0.7529021558872305;0.851937727724412;0.25375626043405675
('fnlwgt', 'occupation');0.7530127142067441;0.8534697625606716;0.21448663853727146
